.HEADER
..NAMES
Time,V U4.M3
.DATA
1.69072e-008,0.6555
1.69439e-008,0.5675
1.69805e-008,0.5063
1.70172e-008,0.4732
1.70539e-008,0.4628
1.70905e-008,0.4652
1.71272e-008,0.4696
1.71639e-008,0.4691
1.72006e-008,0.4624
1.72372e-008,0.4518
1.72739e-008,0.4416
1.73106e-008,0.4353
1.73473e-008,0.4340
1.73840e-008,0.4355
1.74206e-008,0.4355
1.74573e-008,0.4303
1.74940e-008,0.4179
1.75307e-008,0.3989
1.75673e-008,0.3764
1.76040e-008,0.3546
1.76407e-008,0.3382
1.76773e-008,0.3299
1.77140e-008,0.3302
1.77507e-008,0.3366
1.77874e-008,0.3448
1.78240e-008,0.3502
1.78607e-008,0.3499
1.78974e-008,0.3437
1.79341e-008,0.3339
1.79708e-008,0.3241
1.80074e-008,0.3177
1.80441e-008,0.3162
1.80808e-008,0.3190
1.81175e-008,0.3238
1.81541e-008,0.3276
1.81908e-008,0.3284
1.82275e-008,0.3259
1.82641e-008,0.3211
1.83008e-008,0.3162
1.83375e-008,0.3132
1.83742e-008,0.3132
1.84108e-008,0.3161
1.84475e-008,0.3213
1.84842e-008,0.3294
1.85209e-008,0.3438
1.85576e-008,0.3714
1.85942e-008,0.4190
1.86309e-008,0.4900
1.86676e-008,0.5806
1.87043e-008,0.6799
1.87409e-008,0.7737
1.87776e-008,0.8495
1.88143e-008,0.9002
1.88509e-008,0.9266
1.88876e-008,0.9356
1.89243e-008,0.9363
1.89610e-008,0.9367
1.89976e-008,0.9418
1.90343e-008,0.9522
1.90710e-008,0.9647
1.91077e-008,0.9756
1.91444e-008,0.9823
1.91810e-008,0.9846
1.92177e-008,0.9848
1.92544e-008,0.9864
1.92911e-008,0.9928
1.93277e-008,1.0056
1.93644e-008,1.0240
1.94011e-008,1.0451
1.94377e-008,1.0650
1.94744e-008,1.0798
1.95111e-008,1.0866
1.95478e-008,1.0855
1.95844e-008,1.0791
1.96211e-008,1.0718
1.96578e-008,1.0680
1.96945e-008,1.0702
1.97312e-008,1.0780
1.97678e-008,1.0885
1.98045e-008,1.0978
1.98412e-008,1.1031
1.98779e-008,1.1033
1.99145e-008,1.0996
1.99512e-008,1.0946
1.99879e-008,1.0912
2.00245e-008,1.0911
2.00612e-008,1.0943
2.00979e-008,1.0995
2.01346e-008,1.1043
2.01712e-008,1.1070
2.02079e-008,1.1066
2.02446e-008,1.1037
2.02813e-008,1.0993
2.03179e-008,1.0951
2.03546e-008,1.0921
2.03913e-008,1.0908
2.04280e-008,1.0909
2.04647e-008,1.0919
2.05013e-008,1.0928
2.05380e-008,1.0929
2.05747e-008,1.0920
2.06114e-008,1.0903
2.06480e-008,1.0886
2.06847e-008,1.0878
2.07214e-008,1.0882
2.07580e-008,1.0899
2.07947e-008,1.0922
2.08314e-008,1.0941
2.08681e-008,1.0950
2.09047e-008,1.0945
2.09414e-008,1.0929
2.09781e-008,1.0910
2.10148e-008,1.0895
2.10515e-008,1.0889
2.10881e-008,1.0893
2.11248e-008,1.0903
2.11615e-008,1.0912
2.11982e-008,1.0916
2.12348e-008,1.0912
2.12715e-008,1.0903
2.13082e-008,1.0894
2.13448e-008,1.0889
2.13815e-008,1.0891
2.14182e-008,1.0897
2.14549e-008,1.0904
2.14915e-008,1.0911
2.15282e-008,1.0913
2.15649e-008,1.0910
2.16016e-008,1.0904
2.16383e-008,1.0896
2.16749e-008,1.0890
2.17116e-008,1.0888
2.17483e-008,1.0891
2.17850e-008,1.0897
2.18216e-008,1.0903
2.18583e-008,1.0908
2.18950e-008,1.0909
2.19316e-008,1.0905
2.19683e-008,1.0900
2.20050e-008,1.0895
2.20417e-008,1.0892
2.20783e-008,1.0894
2.21150e-008,1.0898
2.21517e-008,1.0906
2.21884e-008,1.0916
2.22251e-008,1.0930
2.22617e-008,1.0941
2.22984e-008,1.0928
2.23351e-008,1.0832
2.23718e-008,1.0569
2.24084e-008,1.0065
2.24451e-008,0.9300
2.24818e-008,0.8322
2.25184e-008,0.7246
2.25551e-008,0.6233
2.25918e-008,0.5421
2.26285e-008,0.4883
2.26651e-008,0.4617
2.27018e-008,0.4558
2.27385e-008,0.4601
2.27752e-008,0.4650
2.28119e-008,0.4647
2.28485e-008,0.4586
2.28852e-008,0.4490
2.29219e-008,0.4400
2.29586e-008,0.4345
2.29952e-008,0.4332
2.30319e-008,0.4335
2.30686e-008,0.4320
2.31052e-008,0.4254
2.31419e-008,0.4126
2.31786e-008,0.3963
2.32153e-008,0.3841
2.32519e-008,0.3884
2.32886e-008,0.4216
2.33253e-008,0.4902
2.33620e-008,0.5891
2.33987e-008,0.7027
2.34353e-008,0.8104
2.34720e-008,0.8932
2.35087e-008,0.9410
2.35454e-008,0.9562
2.35820e-008,0.9503
2.36187e-008,0.9374
2.36554e-008,0.9296
2.36920e-008,0.9332
2.37287e-008,0.9470
2.37654e-008,0.9644
2.38021e-008,0.9779
2.38387e-008,0.9832
2.38754e-008,0.9805
2.39121e-008,0.9739
2.39488e-008,0.9699
2.39855e-008,0.9739
2.40221e-008,0.9880
2.40588e-008,1.0106
2.40955e-008,1.0373
2.41322e-008,1.0624
2.41688e-008,1.0808
2.42055e-008,1.0891
2.42422e-008,1.0876
2.42788e-008,1.0797
2.43155e-008,1.0708
2.43522e-008,1.0663
2.43889e-008,1.0691
2.44255e-008,1.0786
2.44622e-008,1.0909
2.44989e-008,1.1012
2.45356e-008,1.1058
2.45723e-008,1.1039
2.46089e-008,1.0975
2.46456e-008,1.0902
2.46823e-008,1.0858
2.47190e-008,1.0863
2.47556e-008,1.0914
2.47923e-008,1.0987
2.48290e-008,1.1052
2.48657e-008,1.1085
2.49023e-008,1.1075
2.49390e-008,1.1034
2.49757e-008,1.0982
2.50123e-008,1.0938
2.50490e-008,1.0914
2.50857e-008,1.0910
2.51224e-008,1.0918
2.51590e-008,1.0929
2.51957e-008,1.0933
2.52324e-008,1.0926
2.52691e-008,1.0909
2.53058e-008,1.0888
2.53424e-008,1.0872
2.53791e-008,1.0869
2.54158e-008,1.0883
2.54525e-008,1.0908
2.54891e-008,1.0937
2.55258e-008,1.0958
2.55625e-008,1.0962
2.55991e-008,1.0950
2.56358e-008,1.0927
2.56725e-008,1.0903
2.57092e-008,1.0888
2.57458e-008,1.0887
2.57825e-008,1.0897
2.58192e-008,1.0912
2.58559e-008,1.0923
2.58926e-008,1.0924
2.59292e-008,1.0914
2.59659e-008,1.0898
2.60026e-008,1.0884
2.60393e-008,1.0879
2.60759e-008,1.0884
2.61126e-008,1.0897
2.61493e-008,1.0910
2.61859e-008,1.0919
2.62226e-008,1.0920
2.62593e-008,1.0913
2.62960e-008,1.0902
2.63326e-008,1.0891
2.63693e-008,1.0884
2.64060e-008,1.0884
2.64427e-008,1.0890
2.64794e-008,1.0900
2.65160e-008,1.0908
2.65527e-008,1.0913
2.65894e-008,1.0911
2.66261e-008,1.0905
2.66627e-008,1.0897
2.66994e-008,1.0890
2.67361e-008,1.0888
2.67727e-008,1.0891
2.68094e-008,1.0898
2.68461e-008,1.0909
2.68828e-008,1.0921
2.69194e-008,1.0934
2.69561e-008,1.0944
2.69928e-008,1.0921
2.70295e-008,1.0808
2.70662e-008,1.0518
2.71028e-008,0.9983
2.71395e-008,0.9189
2.71762e-008,0.8193
2.72129e-008,0.7116
2.72495e-008,0.6121
2.72862e-008,0.5339
2.73229e-008,0.4835
2.73595e-008,0.4597
2.73962e-008,0.4556
2.74329e-008,0.4606
2.74696e-008,0.4651
2.75062e-008,0.4643
2.75429e-008,0.4576
2.75796e-008,0.4479
2.76163e-008,0.4391
2.76530e-008,0.4341
2.76896e-008,0.4330
2.77263e-008,0.4333
2.77630e-008,0.4314
2.77997e-008,0.4240
2.78363e-008,0.4100
2.78730e-008,0.3903
2.79097e-008,0.3679
2.79463e-008,0.3475
2.79830e-008,0.3332
2.80197e-008,0.3274
2.80564e-008,0.3300
2.80930e-008,0.3379
2.81297e-008,0.3463
2.81664e-008,0.3508
2.82031e-008,0.3490
2.82398e-008,0.3415
2.82764e-008,0.3310
2.83131e-008,0.3216
2.83498e-008,0.3162
2.83865e-008,0.3159
2.84231e-008,0.3195
2.84598e-008,0.3245
2.84965e-008,0.3279
2.85331e-008,0.3281
2.85698e-008,0.3251
2.86065e-008,0.3201
2.86432e-008,0.3155
2.86798e-008,0.3130
2.87165e-008,0.3135
2.87532e-008,0.3170
2.87899e-008,0.3239
2.88266e-008,0.3363
2.88632e-008,0.3597
2.88999e-008,0.4010
2.89366e-008,0.4647
2.89733e-008,0.5496
2.90099e-008,0.6469
2.90466e-008,0.7434
2.90833e-008,0.8259
2.91199e-008,0.8853
2.91566e-008,0.9197
2.91933e-008,0.9342
2.92300e-008,0.9372
2.92666e-008,0.9372
2.93033e-008,0.9403
2.93400e-008,0.9485
2.93767e-008,0.9601
2.94133e-008,0.9714
2.94500e-008,0.9795
2.94867e-008,0.9834
2.95234e-008,0.9844
2.95601e-008,0.9856
2.95967e-008,0.9905
2.96334e-008,1.0015
2.96701e-008,1.0185
2.97068e-008,1.0398
2.97434e-008,1.0619
2.97801e-008,1.0793
2.98168e-008,1.0838
2.98534e-008,1.0657
2.98901e-008,1.0175
