.HEADER
..NAMES
Time,V U3.K3
.DATA
2.27018e-008,0.8951
2.27385e-008,0.9281
2.27752e-008,0.9404
2.28119e-008,0.9407
2.28485e-008,0.9391
2.28852e-008,0.9436
2.29219e-008,0.9576
2.29586e-008,0.9795
2.29952e-008,1.0048
2.30319e-008,1.0278
2.30686e-008,1.0445
2.31052e-008,1.0535
2.31419e-008,1.0563
2.31786e-008,1.0561
2.32153e-008,1.0560
2.32519e-008,1.0585
2.32886e-008,1.0644
2.33253e-008,1.0726
2.33620e-008,1.0814
2.33987e-008,1.0885
2.34353e-008,1.0920
2.34720e-008,1.0916
2.35087e-008,1.0881
2.35454e-008,1.0838
2.35820e-008,1.0811
2.36187e-008,1.0815
2.36554e-008,1.0850
2.36920e-008,1.0907
2.37287e-008,1.0965
2.37654e-008,1.1006
2.38021e-008,1.1021
2.38387e-008,1.1008
2.38754e-008,1.0981
2.39121e-008,1.0955
2.39488e-008,1.0945
2.39855e-008,1.0955
2.40221e-008,1.0981
2.40588e-008,1.1010
2.40955e-008,1.1031
2.41322e-008,1.1036
2.41688e-008,1.1027
2.42055e-008,1.1012
2.42422e-008,1.0998
2.42788e-008,1.0980
2.43155e-008,1.0925
2.43522e-008,1.0772
2.43889e-008,1.0449
2.44255e-008,0.9902
2.44622e-008,0.9125
2.44989e-008,0.8167
2.45356e-008,0.7138
2.45723e-008,0.6173
2.46089e-008,0.5393
2.46456e-008,0.4873
2.46823e-008,0.4619
2.47190e-008,0.4572
2.47556e-008,0.4627
2.47923e-008,0.4680
2.48290e-008,0.4655
2.48657e-008,0.4524
2.49023e-008,0.4307
2.49390e-008,0.4059
2.49757e-008,0.3839
2.50123e-008,0.3685
2.50490e-008,0.3610
2.50857e-008,0.3597
2.51224e-008,0.3611
2.51590e-008,0.3626
2.51957e-008,0.3639
2.52324e-008,0.3693
2.52691e-008,0.3861
2.53058e-008,0.4233
2.53424e-008,0.4861
2.53791e-008,0.5729
2.54158e-008,0.6744
2.54525e-008,0.7763
2.54891e-008,0.8630
2.55258e-008,0.9232
2.55625e-008,0.9538
2.55991e-008,0.9592
2.56358e-008,0.9501
2.56725e-008,0.9395
2.57092e-008,0.9378
2.57458e-008,0.9494
2.57825e-008,0.9722
2.58192e-008,1.0002
2.58559e-008,1.0257
2.58926e-008,1.0429
2.59292e-008,1.0503
2.59659e-008,1.0499
2.60026e-008,1.0462
2.60393e-008,1.0440
2.60759e-008,1.0467
2.61126e-008,1.0549
2.61493e-008,1.0665
2.61859e-008,1.0764
2.62226e-008,1.0763
2.62593e-008,1.0570
2.62960e-008,1.0112
2.63326e-008,0.9375
