.HEADER
..NAMES
Time,V U3.A7
.DATA
1.91332e-008,1.1711
1.91718e-008,1.1700
1.92104e-008,1.1710
1.92489e-008,1.1726
1.92875e-008,1.1730
1.93261e-008,1.1727
1.93647e-008,1.1730
1.94032e-008,1.1741
1.94418e-008,1.1752
1.94804e-008,1.1760
1.95190e-008,1.1771
1.95575e-008,1.1775
1.95961e-008,1.1769
1.96347e-008,1.1765
1.96732e-008,1.1769
1.97118e-008,1.1775
1.97504e-008,1.1778
1.97890e-008,1.1795
1.98275e-008,1.1840
1.98661e-008,1.1815
1.99047e-008,1.1561
1.99433e-008,1.0868
1.99819e-008,0.9760
2.00204e-008,0.8592
2.00590e-008,0.7491
2.00976e-008,0.6431
2.01362e-008,0.5514
2.01747e-008,0.4811
2.02133e-008,0.4328
2.02519e-008,0.3998
2.02905e-008,0.3775
2.03290e-008,0.3625
2.03676e-008,0.3518
2.04062e-008,0.3403
2.04447e-008,0.3275
2.04833e-008,0.3203
2.05219e-008,0.3191
2.05605e-008,0.3188
2.05990e-008,0.3185
2.06376e-008,0.3197
2.06762e-008,0.3221
2.07148e-008,0.3237
2.07533e-008,0.3241
2.07919e-008,0.3240
2.08305e-008,0.3237
2.08691e-008,0.3226
2.09077e-008,0.3210
2.09462e-008,0.3206
2.09848e-008,0.3215
2.10234e-008,0.3216
2.10620e-008,0.3211
2.11005e-008,0.3210
2.11391e-008,0.3211
2.11777e-008,0.3210
2.12163e-008,0.3207
2.12548e-008,0.3205
2.12934e-008,0.3204
2.13320e-008,0.3203
2.13705e-008,0.3201
2.14091e-008,0.3202
2.14477e-008,0.3205
2.14863e-008,0.3206
2.15248e-008,0.3204
2.15634e-008,0.3203
2.16020e-008,0.3204
2.16406e-008,0.3204
2.16791e-008,0.3204
2.17177e-008,0.3203
2.17563e-008,0.3204
2.17949e-008,0.3204
2.18335e-008,0.3203
2.18720e-008,0.3203
2.19106e-008,0.3204
2.19492e-008,0.3204
2.19878e-008,0.3203
2.20263e-008,0.3203
2.20649e-008,0.3203
2.21035e-008,0.3205
2.21420e-008,0.3231
2.21806e-008,0.3345
2.22192e-008,0.3662
2.22578e-008,0.4334
2.22963e-008,0.5366
2.23349e-008,0.6606
2.23735e-008,0.7725
2.24121e-008,0.8550
2.24506e-008,0.9263
2.24892e-008,0.9884
2.25278e-008,1.0381
2.25664e-008,1.0724
2.26050e-008,1.0963
2.26435e-008,1.1129
2.26821e-008,1.1260
2.27207e-008,1.1392
2.27593e-008,1.1527
2.27978e-008,1.1645
2.28364e-008,1.1699
2.28750e-008,1.1686
2.29136e-008,1.1677
2.29521e-008,1.1697
2.29907e-008,1.1718
2.30293e-008,1.1725
2.30678e-008,1.1726
2.31064e-008,1.1730
2.31450e-008,1.1736
2.31836e-008,1.1747
2.32221e-008,1.1762
2.32607e-008,1.1773
2.32993e-008,1.1773
2.33379e-008,1.1763
2.33764e-008,1.1762
2.34150e-008,1.1769
2.34536e-008,1.1776
2.34922e-008,1.1777
2.35308e-008,1.1775
2.35693e-008,1.1775
2.36079e-008,1.1775
2.36465e-008,1.1777
2.36851e-008,1.1778
2.37236e-008,1.1779
2.37622e-008,1.1778
2.38008e-008,1.1775
2.38394e-008,1.1775
2.38779e-008,1.1777
2.39165e-008,1.1779
2.39551e-008,1.1778
2.39936e-008,1.1777
2.40322e-008,1.1777
2.40708e-008,1.1777
2.41094e-008,1.1777
2.41479e-008,1.1778
2.41865e-008,1.1778
2.42251e-008,1.1777
2.42637e-008,1.1777
2.43023e-008,1.1777
2.43408e-008,1.1778
2.43794e-008,1.1778
2.44180e-008,1.1778
2.44566e-008,1.1781
2.44951e-008,1.1816
2.45337e-008,1.1847
2.45723e-008,1.1748
2.46109e-008,1.1333
2.46494e-008,1.0438
2.46880e-008,0.9260
2.47266e-008,0.8130
2.47651e-008,0.7040
2.48037e-008,0.6028
2.48423e-008,0.5191
2.48809e-008,0.4585
2.49194e-008,0.4167
2.49580e-008,0.3799
2.49966e-008,0.3662
2.50352e-008,0.3868
2.50737e-008,0.4364
2.51123e-008,0.5193
2.51509e-008,0.6335
2.51895e-008,0.7522
2.52281e-008,0.8441
2.52666e-008,0.9210
2.53052e-008,0.9859
2.53438e-008,1.0387
2.53824e-008,1.0758
2.54209e-008,1.0992
2.54595e-008,1.1155
2.54981e-008,1.1300
2.55367e-008,1.1419
2.55752e-008,1.1521
2.56138e-008,1.1630
2.56524e-008,1.1709
2.56909e-008,1.1715
2.57295e-008,1.1700
2.57681e-008,1.1707
2.58067e-008,1.1723
2.58452e-008,1.1730
2.58838e-008,1.1727
2.59224e-008,1.1729
2.59610e-008,1.1739
2.59995e-008,1.1750
2.60381e-008,1.1758
2.60767e-008,1.1768
2.61153e-008,1.1775
2.61539e-008,1.1770
2.61924e-008,1.1765
2.62310e-008,1.1767
2.62696e-008,1.1774
2.63082e-008,1.1777
2.63467e-008,1.1776
2.63853e-008,1.1775
2.64239e-008,1.1777
2.64625e-008,1.1778
2.65010e-008,1.1778
2.65396e-008,1.1779
2.65782e-008,1.1779
2.66167e-008,1.1777
2.66553e-008,1.1776
2.66939e-008,1.1776
2.67325e-008,1.1778
2.67710e-008,1.1779
2.68096e-008,1.1786
2.68482e-008,1.1826
2.68868e-008,1.1842
2.69254e-008,1.1695
2.69639e-008,1.1185
2.70025e-008,1.0200
2.70411e-008,0.9015
2.70797e-008,0.7900
2.71182e-008,0.6817
2.71568e-008,0.5835
2.71954e-008,0.5044
2.72340e-008,0.4485
2.72725e-008,0.4107
2.73111e-008,0.3847
2.73497e-008,0.3674
2.73882e-008,0.3556
2.74268e-008,0.3449
2.74654e-008,0.3320
2.75040e-008,0.3221
2.75425e-008,0.3193
2.75811e-008,0.3190
2.76197e-008,0.3185
2.76583e-008,0.3190
2.76968e-008,0.3212
2.77354e-008,0.3232
2.77740e-008,0.3241
2.78126e-008,0.3241
2.78512e-008,0.3238
2.78897e-008,0.3231
2.79283e-008,0.3216
2.79669e-008,0.3206
2.80055e-008,0.3211
2.80440e-008,0.3217
2.80826e-008,0.3213
2.81212e-008,0.3209
2.81598e-008,0.3210
2.81983e-008,0.3211
2.82369e-008,0.3232
2.82755e-008,0.3335
2.83140e-008,0.3635
2.83526e-008,0.4284
2.83912e-008,0.5298
2.84298e-008,0.6534
2.84683e-008,0.7674
2.85069e-008,0.8512
2.85455e-008,0.9227
2.85841e-008,0.9852
2.86226e-008,1.0358
2.86612e-008,1.0716
2.86998e-008,1.1144
2.87384e-008,1.1524
2.87770e-008,1.1544
2.88155e-008,1.1435
2.88541e-008,1.0940
2.88927e-008,0.9963
2.89313e-008,0.8743
2.89698e-008,0.7538
2.90084e-008,0.6422
2.90470e-008,0.5505
2.90855e-008,0.4810
2.91241e-008,0.4309
2.91627e-008,0.3944
2.92013e-008,0.3685
2.92398e-008,0.3725
2.92784e-008,0.4070
2.93170e-008,0.4785
2.93556e-008,0.5814
2.93941e-008,0.7008
2.94327e-008,0.8021
2.94713e-008,0.8859
2.95099e-008,0.9586
2.95485e-008,1.0181
2.95870e-008,1.0619
2.96256e-008,1.0981
2.96642e-008,1.1436
2.97028e-008,1.1574
2.97413e-008,1.1516
2.97799e-008,1.1156
2.98185e-008,1.0314
2.98570e-008,0.9161
2.98956e-008,0.7964
2.99342e-008,0.6805
2.99728e-008,0.5798
3.00113e-008,0.5021
3.00499e-008,0.4457
3.00885e-008,0.4080
3.01271e-008,0.3847
3.01657e-008,0.3662
3.02042e-008,0.3524
3.02428e-008,0.3435
3.02814e-008,0.3331
3.03199e-008,0.3230
3.03585e-008,0.3178
3.03971e-008,0.3165
3.04357e-008,0.3168
3.04743e-008,0.3188
3.05128e-008,0.3213
3.05514e-008,0.3232
3.05900e-008,0.3245
3.06285e-008,0.3241
3.06671e-008,0.3232
3.07057e-008,0.3228
3.07443e-008,0.3220
3.07829e-008,0.3209
3.08214e-008,0.3207
3.08600e-008,0.3211
3.08986e-008,0.3211
3.09372e-008,0.3212
3.09757e-008,0.3212
3.10143e-008,0.3211
3.10529e-008,0.3235
3.10914e-008,0.3344
3.11300e-008,0.3656
3.11686e-008,0.4327
3.12072e-008,0.5361
3.12458e-008,0.6601
3.12843e-008,0.7722
3.13229e-008,0.8549
3.13615e-008,0.9262
3.14000e-008,0.9883
3.14386e-008,1.0380
3.14772e-008,1.0731
3.15158e-008,1.1154
3.15544e-008,1.1529
3.15929e-008,1.1543
3.16315e-008,1.1419
3.16701e-008,1.0900
3.17087e-008,0.9904
3.17472e-008,0.8680
3.17858e-008,0.7476
3.18244e-008,0.6370
3.18629e-008,0.5464
3.19015e-008,0.4779
3.19401e-008,0.4289
3.19787e-008,0.3982
3.20173e-008,0.3781
3.20558e-008,0.3601
3.20944e-008,0.3488
3.21330e-008,0.3403
3.21715e-008,0.3294
3.22101e-008,0.3200
3.22487e-008,0.3164
3.22873e-008,0.3163
3.23259e-008,0.3177
3.23644e-008,0.3201
3.24030e-008,0.3221
3.24416e-008,0.3243
3.24801e-008,0.3306
3.25187e-008,0.3501
3.25573e-008,0.3985
3.25959e-008,0.4855
3.26344e-008,0.6012
3.26730e-008,0.7234
3.27116e-008,0.8191
3.27502e-008,0.8951
3.27888e-008,0.9618
3.28273e-008,1.0176
3.28659e-008,1.0587
3.29045e-008,1.0925
3.29430e-008,1.1399
3.29816e-008,1.1560
3.30202e-008,1.1507
3.30588e-008,1.1208
3.30974e-008,1.0424
3.31359e-008,0.9267
3.31745e-008,0.8043
3.32131e-008,0.6879
3.32516e-008,0.5867
3.32902e-008,0.5079
3.33288e-008,0.4498
3.33674e-008,0.4107
3.34060e-008,0.3871
3.34445e-008,0.3682
3.34831e-008,0.3533
3.35217e-008,0.3446
3.35603e-008,0.3347
