.HEADER
..NAMES
Time,V U5.F8
.DATA
2.23349e-008,0.4133
2.23735e-008,0.3863
2.24121e-008,0.3669
2.24506e-008,0.3558
2.24892e-008,0.3506
2.25278e-008,0.3460
2.25664e-008,0.3413
2.26050e-008,0.3347
2.26435e-008,0.3251
2.26821e-008,0.3187
2.27207e-008,0.3176
2.27593e-008,0.3178
2.27978e-008,0.3180
2.28364e-008,0.3233
2.28750e-008,0.3426
2.29136e-008,0.3863
2.29521e-008,0.4639
2.29907e-008,0.5705
2.30293e-008,0.6911
2.30678e-008,0.7919
2.31064e-008,0.8704
2.31450e-008,0.9397
2.31836e-008,0.9981
2.32221e-008,1.0416
2.32607e-008,1.0736
2.32993e-008,1.1211
2.33379e-008,1.1482
2.33764e-008,1.1472
2.34150e-008,1.1248
2.34536e-008,1.0600
2.34922e-008,0.9601
2.35308e-008,0.8519
2.35693e-008,0.7432
2.36079e-008,0.6385
2.36465e-008,0.5469
2.36851e-008,0.4775
2.37236e-008,0.4304
2.37622e-008,0.3911
2.38008e-008,0.3712
2.38394e-008,0.3823
2.38779e-008,0.4302
2.39165e-008,0.5119
2.39551e-008,0.6167
2.39936e-008,0.7256
2.40322e-008,0.8114
2.40708e-008,0.8867
2.41094e-008,0.9551
2.41479e-008,1.0116
2.41865e-008,1.0514
2.42251e-008,1.0793
2.42637e-008,1.1020
2.43023e-008,1.1201
2.43408e-008,1.1313
2.43794e-008,1.1380
2.44180e-008,1.1456
2.44566e-008,1.1547
2.44951e-008,1.1633
2.45337e-008,1.1702
2.45723e-008,1.1747
2.46109e-008,1.1737
2.46494e-008,1.1720
2.46880e-008,1.1726
2.47266e-008,1.1737
2.47651e-008,1.1733
2.48037e-008,1.1724
2.48423e-008,1.1728
2.48809e-008,1.1737
2.49194e-008,1.1740
2.49580e-008,1.1737
2.49966e-008,1.1743
2.50352e-008,1.1753
2.50737e-008,1.1759
2.51123e-008,1.1761
2.51509e-008,1.1760
2.51895e-008,1.1753
2.52281e-008,1.1748
2.52666e-008,1.1752
2.53052e-008,1.1757
2.53438e-008,1.1758
2.53824e-008,1.1755
2.54209e-008,1.1757
2.54595e-008,1.1760
2.54981e-008,1.1760
2.55367e-008,1.1758
2.55752e-008,1.1758
2.56138e-008,1.1760
2.56524e-008,1.1761
2.56909e-008,1.1760
2.57295e-008,1.1760
2.57681e-008,1.1759
2.58067e-008,1.1759
2.58452e-008,1.1760
2.58838e-008,1.1762
2.59224e-008,1.1762
2.59610e-008,1.1761
2.59995e-008,1.1761
2.60381e-008,1.1762
2.60767e-008,1.1762
2.61153e-008,1.1761
2.61539e-008,1.1761
2.61924e-008,1.1762
2.62310e-008,1.1763
2.62696e-008,1.1762
2.63082e-008,1.1762
2.63467e-008,1.1762
2.63853e-008,1.1763
2.64239e-008,1.1763
2.64625e-008,1.1763
2.65010e-008,1.1763
2.65396e-008,1.1764
2.65782e-008,1.1791
2.66167e-008,1.1831
2.66553e-008,1.1772
2.66939e-008,1.1451
2.67325e-008,1.0680
2.67710e-008,0.9569
2.68096e-008,0.8453
2.68482e-008,0.7362
2.68868e-008,0.6317
2.69254e-008,0.5429
2.69639e-008,0.4774
2.70025e-008,0.4335
2.70411e-008,0.4025
2.70797e-008,0.3796
2.71182e-008,0.3635
2.71568e-008,0.3545
2.71954e-008,0.3497
2.72340e-008,0.3455
2.72725e-008,0.3405
2.73111e-008,0.3320
2.73497e-008,0.3226
2.73882e-008,0.3188
2.74268e-008,0.3189
2.74654e-008,0.3188
2.75040e-008,0.3191
2.75425e-008,0.3213
2.75811e-008,0.3243
2.76197e-008,0.3257
2.76583e-008,0.3254
2.76968e-008,0.3246
2.77354e-008,0.3245
2.77740e-008,0.3247
2.78126e-008,0.3240
2.78512e-008,0.3233
2.78897e-008,0.3224
2.79283e-008,0.3215
2.79669e-008,0.3218
2.80055e-008,0.3227
2.80440e-008,0.3229
2.80826e-008,0.3226
2.81212e-008,0.3226
2.81598e-008,0.3228
2.81983e-008,0.3227
2.82369e-008,0.3222
2.82755e-008,0.3219
2.83140e-008,0.3219
2.83526e-008,0.3221
2.83912e-008,0.3220
2.84298e-008,0.3219
2.84683e-008,0.3219
2.85069e-008,0.3218
2.85455e-008,0.3219
2.85841e-008,0.3221
2.86226e-008,0.3220
2.86612e-008,0.3218
2.86998e-008,0.3218
2.87384e-008,0.3218
2.87770e-008,0.3218
2.88155e-008,0.3217
2.88541e-008,0.3216
2.88927e-008,0.3217
2.89313e-008,0.3218
2.89698e-008,0.3217
2.90084e-008,0.3216
2.90470e-008,0.3216
2.90855e-008,0.3216
2.91241e-008,0.3216
2.91627e-008,0.3216
2.92013e-008,0.3216
2.92398e-008,0.3215
2.92784e-008,0.3215
2.93170e-008,0.3215
2.93556e-008,0.3217
2.93941e-008,0.3245
2.94327e-008,0.3362
2.94713e-008,0.3685
2.95099e-008,0.4358
2.95485e-008,0.5374
2.95870e-008,0.6589
2.96256e-008,0.7672
2.96642e-008,0.8499
2.97028e-008,0.9226
2.97413e-008,0.9849
2.97799e-008,1.0331
2.98185e-008,1.0659
2.98570e-008,1.0897
2.98956e-008,1.1078
2.99342e-008,1.1212
2.99728e-008,1.1310
3.00113e-008,1.1379
3.00499e-008,1.1452
3.00885e-008,1.1543
3.01271e-008,1.1639
3.01657e-008,1.1722
3.02042e-008,1.1748
3.02428e-008,1.1723
3.02814e-008,1.1710
3.03199e-008,1.1750
3.03585e-008,1.1813
3.03971e-008,1.1775
3.04357e-008,1.1535
3.04743e-008,1.0894
3.05128e-008,0.9846
3.05514e-008,0.8716
3.05900e-008,0.7625
3.06285e-008,0.6561
3.06671e-008,0.5631
3.07057e-008,0.4918
3.07443e-008,0.4432
3.07829e-008,0.4089
3.08214e-008,0.3831
3.08600e-008,0.3650
3.08986e-008,0.3551
3.09372e-008,0.3502
3.09757e-008,0.3456
3.10143e-008,0.3408
3.10529e-008,0.3336
3.10914e-008,0.3240
3.11300e-008,0.3185
3.11686e-008,0.3179
3.12072e-008,0.3180
3.12458e-008,0.3185
3.12843e-008,0.3253
3.13229e-008,0.3477
3.13615e-008,0.3961
3.14000e-008,0.4788
3.14386e-008,0.5888
3.14772e-008,0.7088
3.15158e-008,0.8049
3.15544e-008,0.8818
3.15929e-008,0.9496
3.16315e-008,1.0061
3.16701e-008,1.0470
3.17087e-008,1.0802
3.17472e-008,1.1297
3.17858e-008,1.1487
3.18244e-008,1.1462
3.18629e-008,1.1181
3.19015e-008,1.0466
3.19401e-008,0.9436
3.19787e-008,0.8353
3.20173e-008,0.7267
3.20558e-008,0.6235
3.20944e-008,0.5347
3.21330e-008,0.4690
3.21715e-008,0.4246
3.22101e-008,0.3869
3.22487e-008,0.3711
3.22873e-008,0.3871
3.23259e-008,0.4414
3.23644e-008,0.5264
3.24030e-008,0.6341
3.24416e-008,0.7402
3.24801e-008,0.8236
3.25187e-008,0.8978
3.25573e-008,0.9648
3.25959e-008,1.0189
3.26344e-008,1.0574
3.26730e-008,1.1046
3.27116e-008,1.1395
3.27502e-008,1.1468
3.27888e-008,1.1334
3.28273e-008,1.0777
3.28659e-008,0.9830
3.29045e-008,0.8753
3.29430e-008,0.7654
3.29816e-008,0.6577
3.30202e-008,0.5639
3.30588e-008,0.4904
3.30974e-008,0.4395
3.31359e-008,0.4063
3.31745e-008,0.3821
3.32131e-008,0.3631
3.32516e-008,0.3548
3.32902e-008,0.3509
3.33288e-008,0.3442
3.33674e-008,0.3388
3.34060e-008,0.3321
3.34445e-008,0.3239
3.34831e-008,0.3186
3.35217e-008,0.3173
3.35603e-008,0.3169
3.35988e-008,0.3182
3.36374e-008,0.3274
3.36760e-008,0.3541
3.37145e-008,0.4109
3.37531e-008,0.5016
3.37917e-008,0.6152
3.38303e-008,0.7321
3.38689e-008,0.8224
3.39074e-008,0.8969
3.39460e-008,0.9623
3.39846e-008,1.0161
3.40231e-008,1.0542
3.40617e-008,1.0895
3.41003e-008,1.1371
3.41389e-008,1.1487
3.41775e-008,1.1434
3.42160e-008,1.1069
3.42546e-008,1.0266
3.42932e-008,0.9209
3.43318e-008,0.8130
3.43703e-008,0.7043
3.44089e-008,0.6031
3.44475e-008,0.5187
3.44860e-008,0.4583
3.45246e-008,0.4165
3.45632e-008,0.3809
3.46018e-008,0.3721
3.46404e-008,0.3950
3.46789e-008,0.4572
3.47175e-008,0.5473
3.47561e-008,0.6581
3.47946e-008,0.7592
3.48332e-008,0.8396
3.48718e-008,0.9126
3.49104e-008,0.9776
3.49490e-008,1.0281
3.49875e-008,1.0624
3.50261e-008,1.0881
3.50647e-008,1.1093
3.51032e-008,1.1252
3.51418e-008,1.1341
3.51804e-008,1.1406
3.52190e-008,1.1488
3.52575e-008,1.1582
3.52961e-008,1.1660
3.53347e-008,1.1725
3.53733e-008,1.1750
3.54119e-008,1.1730
3.54504e-008,1.1721
3.54890e-008,1.1732
3.55276e-008,1.1739
3.55661e-008,1.1730
3.56047e-008,1.1725
3.56433e-008,1.1733
3.56819e-008,1.1741
3.57205e-008,1.1740
3.57590e-008,1.1739
3.57976e-008,1.1747
3.58362e-008,1.1757
3.58747e-008,1.1761
3.59133e-008,1.1762
3.59519e-008,1.1759
3.59905e-008,1.1752
3.60290e-008,1.1750
3.60676e-008,1.1755
3.61062e-008,1.1759
3.61448e-008,1.1757
3.61834e-008,1.1756
3.62219e-008,1.1759
3.62605e-008,1.1761
3.62991e-008,1.1760
3.63376e-008,1.1758
3.63762e-008,1.1759
3.64148e-008,1.1761
3.64534e-008,1.1761
3.64920e-008,1.1760
3.65305e-008,1.1760
3.65691e-008,1.1759
3.66077e-008,1.1760
3.66462e-008,1.1761
3.66848e-008,1.1762
3.67234e-008,1.1762
3.67620e-008,1.1761
3.68006e-008,1.1762
3.68391e-008,1.1762
3.68777e-008,1.1772
3.69163e-008,1.1814
3.69549e-008,1.1819
3.69934e-008,1.1650
3.70320e-008,1.1109
3.70706e-008,1.0119
3.71091e-008,0.8978
3.71477e-008,0.7885
3.71863e-008,0.6803
3.72249e-008,0.5829
3.72635e-008,0.5056
3.73020e-008,0.4523
3.73406e-008,0.4132
3.73792e-008,0.3781
3.74177e-008,0.3748
3.74563e-008,0.4005
3.74949e-008,0.4623
3.75335e-008,0.5575
3.75721e-008,0.6721
3.76106e-008,0.7696
3.76492e-008,0.8461
3.76878e-008,0.9185
3.77263e-008,0.9841
3.77649e-008,1.0332
3.78035e-008,1.0663
3.78421e-008,1.0915
3.78806e-008,1.1126
3.79192e-008,1.1276
3.79578e-008,1.1349
3.79964e-008,1.1418
3.80350e-008,1.1504
3.80735e-008,1.1590
3.81121e-008,1.1671
3.81507e-008,1.1743
3.81892e-008,1.1759
3.82278e-008,1.1729
3.82664e-008,1.1727
3.83050e-008,1.1792
3.83436e-008,1.1836
3.83821e-008,1.1746
3.84207e-008,1.1393
3.84593e-008,1.0602
3.84978e-008,0.9490
3.85364e-008,0.8371
3.85750e-008,0.7281
3.86136e-008,0.6255
3.86521e-008,0.5386
3.86907e-008,0.4746
3.87293e-008,0.4314
3.87679e-008,0.3928
3.88065e-008,0.3707
3.88450e-008,0.3832
3.88836e-008,0.4283
3.89222e-008,0.5093
3.89607e-008,0.6169
3.89993e-008,0.7267
3.90379e-008,0.8107
3.90765e-008,0.8848
3.91151e-008,0.9545
3.91536e-008,1.0120
3.91922e-008,1.0521
3.92308e-008,1.0803
3.92693e-008,1.1031
3.93079e-008,1.1214
3.93465e-008,1.1319
3.93851e-008,1.1379
3.94237e-008,1.1459
3.94622e-008,1.1550
3.95008e-008,1.1634
3.95394e-008,1.1711
3.95780e-008,1.1758
3.96165e-008,1.1743
3.96551e-008,1.1722
3.96937e-008,1.1732
3.97322e-008,1.1746
3.97708e-008,1.1740
3.98094e-008,1.1730
3.98480e-008,1.1734
3.98866e-008,1.1744
3.99251e-008,1.1746
3.99637e-008,1.1741
4.00023e-008,1.1748
4.00408e-008,1.1759
4.00794e-008,1.1765
4.01180e-008,1.1767
4.01566e-008,1.1774
4.01952e-008,1.1807
4.02337e-008,1.1814
4.02723e-008,1.1676
4.03109e-008,1.1192
4.03494e-008,1.0242
4.03880e-008,0.9096
4.04266e-008,0.8002
4.04652e-008,0.6919
4.05037e-008,0.5927
4.05423e-008,0.5125
4.05809e-008,0.4569
4.06195e-008,0.4175
4.06581e-008,0.3808
4.06966e-008,0.3736
4.07352e-008,0.3961
4.07738e-008,0.4538
4.08123e-008,0.5457
4.08509e-008,0.6600
4.08895e-008,0.7608
4.09281e-008,0.8383
4.09667e-008,0.9108
4.10052e-008,0.9776
4.10438e-008,1.0289
4.10824e-008,1.0633
4.11209e-008,1.0889
4.11595e-008,1.1105
4.11981e-008,1.1264
4.12367e-008,1.1344
4.12752e-008,1.1409
4.13138e-008,1.1494
