.HEADER
..NAMES
Time,V U3.G2
.DATA
1.58158e-008,0.7786
1.58543e-008,0.8707
1.58929e-008,0.9411
1.59315e-008,0.9970
1.59701e-008,1.0435
1.60086e-008,1.0812
1.60472e-008,1.1074
1.60858e-008,1.1258
1.61243e-008,1.1402
1.61629e-008,1.1503
1.62015e-008,1.1575
1.62401e-008,1.1644
1.62786e-008,1.1691
1.63172e-008,1.1700
1.63558e-008,1.1686
1.63944e-008,1.1671
1.64329e-008,1.1682
1.64715e-008,1.1712
1.65101e-008,1.1732
1.65487e-008,1.1738
1.65873e-008,1.1744
1.66258e-008,1.1749
1.66644e-008,1.1753
1.67030e-008,1.1757
1.67416e-008,1.1762
1.67801e-008,1.1769
1.68187e-008,1.1774
1.68573e-008,1.1773
1.68959e-008,1.1771
1.69344e-008,1.1777
1.69730e-008,1.1800
1.70116e-008,1.1832
1.70501e-008,1.1813
1.70887e-008,1.1594
1.71273e-008,1.0985
1.71659e-008,0.9960
1.72044e-008,0.8757
1.72430e-008,0.7599
1.72816e-008,0.6564
1.73202e-008,0.5673
1.73588e-008,0.4951
1.73973e-008,0.4419
1.74359e-008,0.4060
1.74745e-008,0.3797
1.75131e-008,0.3582
1.75516e-008,0.3439
1.75902e-008,0.3349
1.76288e-008,0.3273
1.76674e-008,0.3214
1.77059e-008,0.3190
1.77445e-008,0.3207
1.77831e-008,0.3242
1.78216e-008,0.3258
1.78602e-008,0.3256
1.78988e-008,0.3264
1.79374e-008,0.3315
1.79759e-008,0.3482
1.80145e-008,0.3904
1.80531e-008,0.4692
1.80917e-008,0.5815
1.81302e-008,0.7036
1.81688e-008,0.8067
1.82074e-008,0.8830
1.82460e-008,0.9450
1.82846e-008,0.9992
1.83231e-008,1.0453
1.83617e-008,1.0891
1.84003e-008,1.1327
1.84389e-008,1.1636
1.84774e-008,1.1640
1.85160e-008,1.1296
1.85546e-008,1.0450
1.85932e-008,0.9282
1.86317e-008,0.8073
1.86703e-008,0.6925
1.87089e-008,0.5947
1.87474e-008,0.5187
1.87860e-008,0.4590
1.88246e-008,0.4166
1.88632e-008,0.3886
1.89017e-008,0.3652
1.89403e-008,0.3475
1.89789e-008,0.3366
1.90175e-008,0.3274
1.90560e-008,0.3211
1.90946e-008,0.3189
1.91332e-008,0.3189
1.91718e-008,0.3217
1.92104e-008,0.3250
1.92489e-008,0.3257
1.92875e-008,0.3257
1.93261e-008,0.3280
1.93647e-008,0.3373
1.94032e-008,0.3655
1.94418e-008,0.4270
1.94804e-008,0.5248
1.95190e-008,0.6464
1.95575e-008,0.7614
1.95961e-008,0.8497
1.96347e-008,0.9165
1.96732e-008,0.9739
1.97118e-008,1.0243
1.97504e-008,1.0663
1.97890e-008,1.1126
1.98275e-008,1.1505
1.98661e-008,1.1672
1.99047e-008,1.1522
1.99433e-008,1.0904
1.99819e-008,0.9858
2.00204e-008,0.8638
2.00590e-008,0.7454
2.00976e-008,0.6383
2.01362e-008,0.5521
2.01747e-008,0.4853
2.02133e-008,0.4344
2.02519e-008,0.4007
2.02905e-008,0.3758
2.03290e-008,0.3548
2.03676e-008,0.3410
2.04062e-008,0.3316
2.04447e-008,0.3234
2.04833e-008,0.3193
2.05219e-008,0.3185
2.05605e-008,0.3199
2.05990e-008,0.3235
2.06376e-008,0.3256
2.06762e-008,0.3254
2.07148e-008,0.3257
2.07533e-008,0.3257
2.07919e-008,0.3245
2.08305e-008,0.3238
