.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
2.15634e-008,0.7406
2.16020e-008,0.7885
2.16406e-008,0.7919
2.16791e-008,0.7494
2.17177e-008,0.6398
2.17563e-008,0.4571
2.17949e-008,0.2397
2.18335e-008,0.0163
2.18720e-008,-0.2006
2.19106e-008,-0.3906
2.19492e-008,-0.5415
2.19878e-008,-0.6492
2.20263e-008,-0.7296
2.20649e-008,-0.7830
2.21035e-008,-0.7919
2.21420e-008,-0.7574
2.21806e-008,-0.6605
2.22192e-008,-0.4887
2.22578e-008,-0.2747
2.22963e-008,-0.0526
2.23349e-008,0.1663
2.23735e-008,0.3615
2.24121e-008,0.5194
2.24506e-008,0.6345
2.24892e-008,0.7177
2.25278e-008,0.7788
2.25664e-008,0.7954
2.26050e-008,0.7690
2.26435e-008,0.6830
2.26821e-008,0.5213
2.27207e-008,0.3095
2.27593e-008,0.0871
2.27978e-008,-0.1341
2.28364e-008,-0.3344
2.28750e-008,-0.4984
2.29136e-008,-0.6196
2.29521e-008,-0.7058
2.29907e-008,-0.7715
2.30293e-008,-0.7935
2.30678e-008,-0.7740
2.31064e-008,-0.6995
2.31450e-008,-0.5502
2.31836e-008,-0.3439
2.32221e-008,-0.1233
2.32607e-008,0.0987
2.32993e-008,0.3033
2.33379e-008,0.4739
2.33764e-008,0.6027
2.34150e-008,0.6932
2.34536e-008,0.7644
2.34922e-008,0.7948
2.35308e-008,0.7827
2.35693e-008,0.7183
2.36079e-008,0.5802
2.36465e-008,0.3787
2.36851e-008,0.1580
2.37236e-008,-0.0654
2.37622e-008,-0.2745
2.38008e-008,-0.4510
2.38394e-008,-0.5861
2.38779e-008,-0.6807
2.39165e-008,-0.7552
2.39551e-008,-0.7912
2.39936e-008,-0.7851
2.40322e-008,-0.7308
2.40708e-008,-0.6057
2.41094e-008,-0.4122
2.41479e-008,-0.1937
2.41865e-008,0.0294
2.42251e-008,0.2418
2.42637e-008,0.4242
2.43023e-008,0.5668
2.43408e-008,0.6673
2.43794e-008,0.7454
2.44180e-008,0.7902
2.44566e-008,0.7913
2.44951e-008,0.7460
2.45337e-008,0.6324
2.45723e-008,0.4465
2.46109e-008,0.2284
2.46494e-008,0.0047
2.46880e-008,-0.2113
2.47266e-008,-0.3994
2.47651e-008,-0.5482
2.48037e-008,-0.6535
2.48423e-008,-0.7320
2.48809e-008,-0.7837
2.49194e-008,-0.7908
2.49580e-008,-0.7539
2.49966e-008,-0.6531
2.50352e-008,-0.4781
2.50737e-008,-0.2634
2.51123e-008,-0.0414
2.51509e-008,0.1768
2.51895e-008,0.3705
2.52281e-008,0.5264
2.52666e-008,0.6395
2.53052e-008,0.7228
2.53438e-008,0.7815
2.53824e-008,0.7956
2.54209e-008,0.7666
2.54595e-008,0.6769
2.54981e-008,0.5114
2.55367e-008,0.2983
2.55752e-008,0.0755
2.56138e-008,-0.1452
2.56524e-008,-0.3437
2.56909e-008,-0.5056
2.57295e-008,-0.6245
2.57681e-008,-0.7088
2.58067e-008,-0.7727
2.58452e-008,-0.7931
2.58838e-008,-0.7713
2.59224e-008,-0.6934
2.59610e-008,-0.5404
2.59995e-008,-0.3326
2.60381e-008,-0.1119
2.60767e-008,0.1096
2.61153e-008,0.3130
