.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
2.04447e-008,0.8362
2.04833e-008,0.9252
2.05219e-008,0.9987
2.05605e-008,1.0539
2.05990e-008,1.0937
2.06376e-008,1.1308
2.06762e-008,1.1524
2.07148e-008,1.1590
2.07533e-008,1.1445
2.07919e-008,1.0901
2.08305e-008,0.9966
2.08691e-008,0.8845
2.09077e-008,0.7621
2.09462e-008,0.6436
2.09848e-008,0.5422
2.10234e-008,0.4638
2.10620e-008,0.4096
2.11005e-008,0.3718
2.11391e-008,0.3579
2.11777e-008,0.3716
2.12163e-008,0.4143
2.12548e-008,0.4905
2.12934e-008,0.5947
2.13320e-008,0.7037
2.13705e-008,0.8056
2.14091e-008,0.8985
2.14477e-008,0.9773
2.14863e-008,1.0386
2.15248e-008,1.0815
2.15634e-008,1.1184
2.16020e-008,1.1468
2.16406e-008,1.1582
2.16791e-008,1.1522
2.17177e-008,1.1119
2.17563e-008,1.0288
2.17949e-008,0.9213
2.18335e-008,0.8014
2.18720e-008,0.6798
2.19106e-008,0.5719
2.19492e-008,0.4858
2.19878e-008,0.4245
2.20263e-008,0.3818
2.20649e-008,0.3591
2.21035e-008,0.3642
2.21420e-008,0.3973
2.21806e-008,0.4628
2.22192e-008,0.5599
2.22578e-008,0.6700
2.22963e-008,0.7742
2.23349e-008,0.8704
2.23735e-008,0.9541
2.24121e-008,1.0212
2.24506e-008,1.0695
2.24892e-008,1.1067
2.25278e-008,1.1401
2.25664e-008,1.1562
2.26050e-008,1.1568
2.26435e-008,1.1295
2.26821e-008,1.0589
2.27207e-008,0.9568
2.27593e-008,0.8402
2.27978e-008,0.7174
2.28364e-008,0.6039
2.28750e-008,0.5104
2.29136e-008,0.4412
2.29521e-008,0.3937
2.29907e-008,0.3631
2.30293e-008,0.3596
2.30678e-008,0.3834
2.31064e-008,0.4383
2.31450e-008,0.5264
2.31836e-008,0.6355
2.32221e-008,0.7419
2.32607e-008,0.8411
2.32993e-008,0.9293
2.33379e-008,1.0020
2.33764e-008,1.0562
2.34150e-008,1.0950
2.34536e-008,1.1316
2.34922e-008,1.1528
2.35308e-008,1.1588
2.35693e-008,1.1426
2.36079e-008,1.0859
2.36465e-008,0.9910
2.36851e-008,0.8784
2.37236e-008,0.7559
2.37622e-008,0.6379
2.38008e-008,0.5375
2.38394e-008,0.4603
2.38779e-008,0.4071
2.39165e-008,0.3700
2.39551e-008,0.3577
2.39936e-008,0.3728
2.40322e-008,0.4172
2.40708e-008,0.4951
2.41094e-008,0.6003
2.41479e-008,0.7091
2.41865e-008,0.8107
2.42251e-008,0.9029
2.42637e-008,0.9809
2.43023e-008,1.0412
2.43408e-008,1.0835
2.43794e-008,1.1212
2.44180e-008,1.1480
2.44566e-008,1.1586
2.44951e-008,1.1514
2.45337e-008,1.1088
2.45723e-008,1.0238
2.46109e-008,0.9155
2.46494e-008,0.7949
2.46880e-008,0.6737
2.47266e-008,0.5669
2.47651e-008,0.4820
2.48037e-008,0.4220
2.48423e-008,0.3805
