.HEADER
..NAMES
Time,V U3.H8
.DATA
1.24597e-008,0.3241
1.24983e-008,0.3187
1.25369e-008,0.3177
1.25755e-008,0.3191
1.26140e-008,0.3221
1.26526e-008,0.3248
1.26912e-008,0.3255
1.27297e-008,0.3259
1.27683e-008,0.3298
1.28069e-008,0.3435
1.28455e-008,0.3802
1.28841e-008,0.4516
1.29226e-008,0.5567
1.29612e-008,0.6767
1.29998e-008,0.7839
1.30383e-008,0.8663
1.30769e-008,0.9324
1.31155e-008,0.9895
1.31541e-008,1.0378
1.31926e-008,1.0809
1.32312e-008,1.1253
1.32698e-008,1.1582
1.33084e-008,1.1642
1.33470e-008,1.1387
1.33855e-008,1.0648
1.34241e-008,0.9537
1.34627e-008,0.8327
1.35012e-008,0.7168
1.35398e-008,0.6142
1.35784e-008,0.5324
1.36170e-008,0.4689
1.36555e-008,0.4207
1.36941e-008,0.3848
1.37327e-008,0.3641
1.37713e-008,0.3701
1.38099e-008,0.4141
1.38484e-008,0.5004
1.38870e-008,0.6189
1.39256e-008,0.7416
1.39641e-008,0.8427
1.40027e-008,0.9204
1.40413e-008,0.9822
1.40799e-008,1.0324
1.41185e-008,1.0738
1.41570e-008,1.1167
1.41956e-008,1.1520
1.42342e-008,1.1683
1.42728e-008,1.1549
1.43113e-008,1.0977
1.43499e-008,0.9961
1.43885e-008,0.8737
1.44270e-008,0.7544
1.44656e-008,0.6453
1.45042e-008,0.5556
1.45428e-008,0.4862
1.45814e-008,0.4338
1.46199e-008,0.3939
1.46585e-008,0.3684
1.46971e-008,0.3643
1.47357e-008,0.3959
1.47742e-008,0.4689
1.48128e-008,0.5792
1.48514e-008,0.7039
1.48899e-008,0.8131
1.49285e-008,0.8977
1.49671e-008,0.9642
1.50057e-008,1.0178
1.50443e-008,1.0611
1.50828e-008,1.0936
1.51214e-008,1.1156
1.51600e-008,1.1321
1.51985e-008,1.1452
1.52371e-008,1.1545
1.52757e-008,1.1617
1.53143e-008,1.1675
1.53528e-008,1.1701
1.53914e-008,1.1695
1.54300e-008,1.1679
1.54686e-008,1.1677
1.55071e-008,1.1697
1.55457e-008,1.1735
1.55843e-008,1.1786
1.56229e-008,1.1811
1.56615e-008,1.1701
1.57000e-008,1.1282
1.57386e-008,1.0437
1.57772e-008,0.9308
1.58158e-008,0.8142
1.58543e-008,0.7056
1.58929e-008,0.6079
1.59315e-008,0.5264
1.59701e-008,0.4635
1.60086e-008,0.4198
1.60472e-008,0.3896
1.60858e-008,0.3660
1.61243e-008,0.3484
1.61629e-008,0.3373
1.62015e-008,0.3289
1.62401e-008,0.3219
1.62786e-008,0.3186
1.63172e-008,0.3191
1.63558e-008,0.3220
1.63944e-008,0.3243
1.64329e-008,0.3250
1.64715e-008,0.3252
1.65101e-008,0.3259
1.65487e-008,0.3257
1.65873e-008,0.3245
1.66258e-008,0.3237
1.66644e-008,0.3235
1.67030e-008,0.3234
1.67416e-008,0.3230
1.67801e-008,0.3225
1.68187e-008,0.3223
1.68573e-008,0.3222
1.68959e-008,0.3219
1.69344e-008,0.3213
1.69730e-008,0.3210
1.70116e-008,0.3211
1.70501e-008,0.3211
1.70887e-008,0.3211
1.71273e-008,0.3210
1.71659e-008,0.3211
1.72044e-008,0.3212
1.72430e-008,0.3211
1.72816e-008,0.3210
1.73202e-008,0.3210
1.73588e-008,0.3211
1.73973e-008,0.3211
1.74359e-008,0.3226
1.74745e-008,0.3299
1.75131e-008,0.3521
1.75516e-008,0.4022
1.75902e-008,0.4877
1.76288e-008,0.6020
1.76674e-008,0.7199
1.77059e-008,0.8179
1.77445e-008,0.8930
1.77831e-008,0.9558
1.78216e-008,1.0101
1.78602e-008,1.0548
1.78988e-008,1.1001
1.79374e-008,1.1406
1.79759e-008,1.1644
1.80145e-008,1.1583
1.80531e-008,1.1135
1.80917e-008,1.0215
1.81302e-008,0.9027
1.81688e-008,0.7834
1.82074e-008,0.6718
1.82460e-008,0.5774
1.82846e-008,0.5037
1.83231e-008,0.4469
1.83617e-008,0.4040
1.84003e-008,0.3741
1.84389e-008,0.3622
1.84774e-008,0.3836
1.85160e-008,0.4452
1.85546e-008,0.5472
1.85932e-008,0.6716
1.86317e-008,0.7871
1.86703e-008,0.8776
1.87089e-008,0.9479
1.87474e-008,1.0044
1.87860e-008,1.0504
1.88246e-008,1.0928
1.88632e-008,1.1341
1.89017e-008,1.1631
1.89403e-008,1.1663
1.89789e-008,1.1373
1.90175e-008,1.0596
1.90560e-008,0.9456
1.90946e-008,0.8232
1.91332e-008,0.7067
1.91718e-008,0.6051
1.92104e-008,0.5244
1.92489e-008,0.4621
1.92875e-008,0.4175
1.93261e-008,0.3885
1.93647e-008,0.3658
1.94032e-008,0.3475
1.94418e-008,0.3357
1.94804e-008,0.3270
1.95190e-008,0.3202
1.95575e-008,0.3174
1.95961e-008,0.3179
1.96347e-008,0.3205
1.96732e-008,0.3239
1.97118e-008,0.3254
1.97504e-008,0.3255
1.97890e-008,0.3276
1.98275e-008,0.3365
1.98661e-008,0.3628
1.99047e-008,0.4205
1.99433e-008,0.5141
1.99819e-008,0.6321
2.00204e-008,0.7468
2.00590e-008,0.8383
2.00976e-008,0.9089
2.01362e-008,0.9692
2.01747e-008,1.0211
2.02133e-008,1.0624
2.02519e-008,1.0930
2.02905e-008,1.1148
2.03290e-008,1.1317
2.03676e-008,1.1446
2.04062e-008,1.1536
2.04447e-008,1.1609
2.04833e-008,1.1665
2.05219e-008,1.1683
2.05605e-008,1.1673
2.05990e-008,1.1667
2.06376e-008,1.1683
2.06762e-008,1.1710
2.07148e-008,1.1729
2.07533e-008,1.1734
2.07919e-008,1.1738
2.08305e-008,1.1745
2.08691e-008,1.1751
2.09077e-008,1.1754
2.09462e-008,1.1759
2.09848e-008,1.1766
2.10234e-008,1.1770
2.10620e-008,1.1771
2.11005e-008,1.1772
2.11391e-008,1.1776
2.11777e-008,1.1780
2.12163e-008,1.1780
2.12548e-008,1.1777
2.12934e-008,1.1777
2.13320e-008,1.1778
2.13705e-008,1.1779
2.14091e-008,1.1779
2.14477e-008,1.1779
2.14863e-008,1.1780
2.15248e-008,1.1780
2.15634e-008,1.1779
2.16020e-008,1.1779
2.16406e-008,1.1787
2.16791e-008,1.1815
2.17177e-008,1.1832
2.17563e-008,1.1733
2.17949e-008,1.1340
2.18335e-008,1.0524
2.18720e-008,0.9403
2.19106e-008,0.8227
2.19492e-008,0.7127
2.19878e-008,0.6139
2.20263e-008,0.5312
2.20649e-008,0.4670
2.21035e-008,0.4220
2.21420e-008,0.3910
2.21806e-008,0.3673
2.22192e-008,0.3495
2.22578e-008,0.3381
2.22963e-008,0.3297
2.23349e-008,0.3225
2.23735e-008,0.3188
2.24121e-008,0.3191
2.24506e-008,0.3218
2.24892e-008,0.3243
2.25278e-008,0.3251
2.25664e-008,0.3254
2.26050e-008,0.3260
2.26435e-008,0.3258
2.26821e-008,0.3247
2.27207e-008,0.3239
2.27593e-008,0.3236
2.27978e-008,0.3235
2.28364e-008,0.3232
2.28750e-008,0.3227
2.29136e-008,0.3225
2.29521e-008,0.3224
2.29907e-008,0.3220
2.30293e-008,0.3216
2.30678e-008,0.3232
2.31064e-008,0.3315
2.31450e-008,0.3559
2.31836e-008,0.4096
2.32221e-008,0.4987
2.32607e-008,0.6148
2.32993e-008,0.7315
2.33379e-008,0.8268
2.33764e-008,0.9000
2.34150e-008,0.9619
2.34536e-008,1.0153
2.34922e-008,1.0593
