.HEADER
..NAMES
Time,V U5.E3
.DATA
1.52371e-008,0.4722
1.52757e-008,0.4243
1.53143e-008,0.3845
1.53528e-008,0.3691
1.53914e-008,0.3806
1.54300e-008,0.4217
1.54686e-008,0.4964
1.55071e-008,0.5999
1.55457e-008,0.7060
1.55843e-008,0.8019
1.56229e-008,0.8908
1.56615e-008,0.9645
1.57000e-008,1.0205
1.57386e-008,1.0618
1.57772e-008,1.1069
1.58158e-008,1.1409
1.58543e-008,1.1506
1.58929e-008,1.1440
1.59315e-008,1.1015
1.59701e-008,1.0170
1.60086e-008,0.9118
1.60472e-008,0.7977
1.60858e-008,0.6806
1.61243e-008,0.5769
1.61629e-008,0.4972
1.62015e-008,0.4414
1.62401e-008,0.4026
1.62786e-008,0.3766
1.63172e-008,0.3628
1.63558e-008,0.3537
1.63944e-008,0.3447
1.64329e-008,0.3377
1.64715e-008,0.3302
1.65101e-008,0.3218
1.65487e-008,0.3167
1.65873e-008,0.3150
1.66258e-008,0.3147
1.66644e-008,0.3162
1.67030e-008,0.3196
1.67416e-008,0.3228
1.67801e-008,0.3243
1.68187e-008,0.3245
1.68573e-008,0.3246
1.68959e-008,0.3241
1.69344e-008,0.3229
1.69730e-008,0.3222
1.70116e-008,0.3214
1.70501e-008,0.3209
1.70887e-008,0.3210
1.71273e-008,0.3215
1.71659e-008,0.3216
1.72044e-008,0.3217
1.72430e-008,0.3218
1.72816e-008,0.3217
1.73202e-008,0.3213
1.73588e-008,0.3210
1.73973e-008,0.3209
1.74359e-008,0.3209
1.74745e-008,0.3209
1.75131e-008,0.3209
1.75516e-008,0.3210
1.75902e-008,0.3210
1.76288e-008,0.3214
1.76674e-008,0.3250
1.77059e-008,0.3375
1.77445e-008,0.3708
1.77831e-008,0.4366
1.78216e-008,0.5340
1.78602e-008,0.6508
1.78988e-008,0.7578
1.79374e-008,0.8493
1.79759e-008,0.9280
1.80145e-008,0.9912
1.80531e-008,1.0376
1.80917e-008,1.0728
1.81302e-008,1.1174
1.81688e-008,1.1430
1.82074e-008,1.1499
1.82460e-008,1.1358
1.82846e-008,1.0827
1.83231e-008,0.9919
1.83617e-008,0.8853
1.84003e-008,0.7690
1.84389e-008,0.6532
1.84774e-008,0.5543
1.85160e-008,0.4803
1.85546e-008,0.4290
1.85932e-008,0.3867
1.86317e-008,0.3673
1.86703e-008,0.3775
1.87089e-008,0.4129
1.87474e-008,0.4807
1.87860e-008,0.5822
1.88246e-008,0.6910
1.88632e-008,0.7875
1.89017e-008,0.8772
1.89403e-008,0.9534
1.89789e-008,1.0121
1.90175e-008,1.0554
1.90560e-008,1.1004
1.90946e-008,1.1383
1.91332e-008,1.1497
1.91718e-008,1.1459
1.92104e-008,1.1082
1.92489e-008,1.0271
1.92875e-008,0.9228
1.93261e-008,0.8104
1.93647e-008,0.6933
1.94032e-008,0.5872
1.94418e-008,0.5044
1.94804e-008,0.4463
1.95190e-008,0.4022
1.95575e-008,0.3710
1.95961e-008,0.3723
1.96347e-008,0.3985
1.96732e-008,0.4551
1.97118e-008,0.5471
1.97504e-008,0.6580
1.97890e-008,0.7574
1.98275e-008,0.8495
1.98661e-008,0.9311
1.99047e-008,0.9956
1.99433e-008,1.0428
1.99819e-008,1.0778
2.00204e-008,1.1038
2.00590e-008,1.1204
2.00976e-008,1.1316
2.01362e-008,1.1422
2.01747e-008,1.1517
2.02133e-008,1.1598
2.02519e-008,1.1680
2.02905e-008,1.1737
2.03290e-008,1.1744
2.03676e-008,1.1740
2.04062e-008,1.1742
2.04447e-008,1.1748
2.04833e-008,1.1787
2.05219e-008,1.1802
2.05605e-008,1.1707
2.05990e-008,1.1332
2.06376e-008,1.0549
2.06762e-008,0.9516
2.07148e-008,0.8419
2.07533e-008,0.7276
2.07919e-008,0.6209
2.08305e-008,0.5324
2.08691e-008,0.4665
2.09077e-008,0.4212
2.09462e-008,0.3904
2.09848e-008,0.3701
2.10234e-008,0.3579
2.10620e-008,0.3499
2.11005e-008,0.3428
2.11391e-008,0.3346
2.11777e-008,0.3253
2.12163e-008,0.3188
2.12548e-008,0.3166
2.12934e-008,0.3159
2.13320e-008,0.3164
2.13705e-008,0.3187
2.14091e-008,0.3235
2.14477e-008,0.3355
2.14863e-008,0.3640
2.15248e-008,0.4216
2.15634e-008,0.5114
2.16020e-008,0.6246
2.16406e-008,0.7353
2.16791e-008,0.8287
2.17177e-008,0.9101
2.17563e-008,0.9774
2.17949e-008,1.0285
2.18335e-008,1.0653
2.18720e-008,1.1080
2.19106e-008,1.1407
2.19492e-008,1.1504
2.19878e-008,1.1439
2.20263e-008,1.1015
2.20649e-008,1.0182
2.21035e-008,0.9140
2.21420e-008,0.8002
2.21806e-008,0.6826
2.22192e-008,0.5782
2.22578e-008,0.4975
2.22963e-008,0.4414
2.23349e-008,0.4029
2.23735e-008,0.3769
2.24121e-008,0.3631
2.24506e-008,0.3540
2.24892e-008,0.3451
2.25278e-008,0.3379
2.25664e-008,0.3302
2.26050e-008,0.3219
2.26435e-008,0.3168
2.26821e-008,0.3150
2.27207e-008,0.3145
2.27593e-008,0.3160
2.27978e-008,0.3198
2.28364e-008,0.3283
2.28750e-008,0.3477
2.29136e-008,0.3901
2.29521e-008,0.4654
2.29907e-008,0.5690
2.30293e-008,0.6847
2.30678e-008,0.7856
2.31064e-008,0.8732
2.31450e-008,0.9473
2.31836e-008,1.0061
2.32221e-008,1.0486
2.32607e-008,1.0789
2.32993e-008,1.1011
2.33379e-008,1.1173
2.33764e-008,1.1294
2.34150e-008,1.1392
2.34536e-008,1.1492
2.34922e-008,1.1592
2.35308e-008,1.1679
2.35693e-008,1.1728
2.36079e-008,1.1732
2.36465e-008,1.1724
2.36851e-008,1.1725
2.37236e-008,1.1732
2.37622e-008,1.1773
2.38008e-008,1.1798
2.38394e-008,1.1723
2.38779e-008,1.1394
2.39165e-008,1.0656
2.39551e-008,0.9632
2.39936e-008,0.8540
2.40322e-008,0.7400
2.40708e-008,0.6317
2.41094e-008,0.5404
2.41479e-008,0.4721
2.41865e-008,0.4251
2.42251e-008,0.3931
2.42637e-008,0.3718
2.43023e-008,0.3590
2.43408e-008,0.3506
2.43794e-008,0.3435
2.44180e-008,0.3355
2.44566e-008,0.3262
2.44951e-008,0.3191
2.45337e-008,0.3166
2.45723e-008,0.3159
2.46109e-008,0.3162
2.46494e-008,0.3182
2.46880e-008,0.3212
2.47266e-008,0.3236
2.47651e-008,0.3245
2.48037e-008,0.3244
2.48423e-008,0.3241
2.48809e-008,0.3236
2.49194e-008,0.3228
2.49580e-008,0.3219
2.49966e-008,0.3209
2.50352e-008,0.3209
2.50737e-008,0.3215
2.51123e-008,0.3217
2.51509e-008,0.3217
2.51895e-008,0.3217
2.52281e-008,0.3217
2.52666e-008,0.3216
2.53052e-008,0.3212
2.53438e-008,0.3210
2.53824e-008,0.3210
2.54209e-008,0.3210
2.54595e-008,0.3210
2.54981e-008,0.3209
2.55367e-008,0.3209
2.55752e-008,0.3211
2.56138e-008,0.3212
2.56524e-008,0.3211
2.56909e-008,0.3210
2.57295e-008,0.3210
2.57681e-008,0.3210
2.58067e-008,0.3209
2.58452e-008,0.3209
2.58838e-008,0.3209
2.59224e-008,0.3209
2.59610e-008,0.3209
2.59995e-008,0.3209
2.60381e-008,0.3209
2.60767e-008,0.3214
2.61153e-008,0.3259
2.61539e-008,0.3408
2.61924e-008,0.3786
2.62310e-008,0.4497
2.62696e-008,0.5513
2.63082e-008,0.6687
2.63467e-008,0.7726
2.63853e-008,0.8623
2.64239e-008,0.9387
2.64625e-008,0.9994
2.65010e-008,1.0433
2.65396e-008,1.0748
2.65782e-008,1.0979
2.66167e-008,1.1147
2.66553e-008,1.1274
2.66939e-008,1.1376
2.67325e-008,1.1477
2.67710e-008,1.1580
2.68096e-008,1.1671
2.68482e-008,1.1726
2.68868e-008,1.1733
2.69254e-008,1.1723
2.69639e-008,1.1723
2.70025e-008,1.1724
2.70411e-008,1.1721
2.70797e-008,1.1722
2.71182e-008,1.1728
2.71568e-008,1.1736
2.71954e-008,1.1742
2.72340e-008,1.1747
2.72725e-008,1.1755
2.73111e-008,1.1764
2.73497e-008,1.1768
2.73882e-008,1.1765
2.74268e-008,1.1759
2.74654e-008,1.1757
2.75040e-008,1.1761
2.75425e-008,1.1763
2.75811e-008,1.1764
2.76197e-008,1.1765
2.76583e-008,1.1767
2.76968e-008,1.1767
2.77354e-008,1.1767
2.77740e-008,1.1766
2.78126e-008,1.1767
2.78512e-008,1.1768
2.78897e-008,1.1767
2.79283e-008,1.1767
2.79669e-008,1.1782
2.80055e-008,1.1818
2.80440e-008,1.1800
2.80826e-008,1.1600
2.81212e-008,1.1038
2.81598e-008,1.0103
2.81983e-008,0.9026
2.82369e-008,0.7897
2.82755e-008,0.6769
2.83140e-008,0.5774
2.83526e-008,0.4995
2.83912e-008,0.4443
2.84298e-008,0.4063
2.84683e-008,0.3803
2.85069e-008,0.3639
2.85455e-008,0.3541
2.85841e-008,0.3468
2.86226e-008,0.3394
2.86612e-008,0.3304
2.86998e-008,0.3218
2.87384e-008,0.3175
2.87770e-008,0.3163
2.88155e-008,0.3161
2.88541e-008,0.3174
2.88927e-008,0.3202
2.89313e-008,0.3230
2.89698e-008,0.3244
2.90084e-008,0.3246
2.90470e-008,0.3244
2.90855e-008,0.3240
2.91241e-008,0.3234
2.91627e-008,0.3225
2.92013e-008,0.3214
2.92398e-008,0.3209
2.92784e-008,0.3213
2.93170e-008,0.3218
2.93556e-008,0.3222
2.93941e-008,0.3259
2.94327e-008,0.3392
2.94713e-008,0.3736
2.95099e-008,0.4404
2.95485e-008,0.5387
2.95870e-008,0.6558
2.96256e-008,0.7621
2.96642e-008,0.8531
2.97028e-008,0.9312
2.97413e-008,0.9937
2.97799e-008,1.0395
2.98185e-008,1.0754
2.98570e-008,1.1210
2.98956e-008,1.1438
2.99342e-008,1.1504
2.99728e-008,1.1347
3.00113e-008,1.0795
3.00499e-008,0.9872
3.00885e-008,0.8802
3.01271e-008,0.7636
3.01657e-008,0.6484
3.02042e-008,0.5505
3.02428e-008,0.4776
3.02814e-008,0.4272
3.03199e-008,0.3857
3.03585e-008,0.3675
3.03971e-008,0.3788
3.04357e-008,0.4153
3.04743e-008,0.4849
3.05128e-008,0.5875
3.05514e-008,0.6958
3.05900e-008,0.7919
3.06285e-008,0.8812
3.06671e-008,0.9567
3.07057e-008,1.0145
3.07443e-008,1.0567
3.07829e-008,1.0884
3.08214e-008,1.1108
3.08600e-008,1.1247
3.08986e-008,1.1355
3.09372e-008,1.1459
3.09757e-008,1.1546
3.10143e-008,1.1626
3.10529e-008,1.1705
3.10914e-008,1.1742
3.11300e-008,1.1741
3.11686e-008,1.1740
3.12072e-008,1.1741
3.12458e-008,1.1759
3.12843e-008,1.1799
3.13229e-008,1.1787
3.13615e-008,1.1614
3.14000e-008,1.1093
3.14386e-008,1.0188
3.14772e-008,0.9124
3.15158e-008,0.8005
3.15544e-008,0.6873
3.15929e-008,0.5863
3.16315e-008,0.5058
3.16701e-008,0.4479
3.17087e-008,0.4053
3.17472e-008,0.3734
3.17858e-008,0.3715
3.18244e-008,0.3956
3.18629e-008,0.4525
3.19015e-008,0.5420
3.19401e-008,0.6510
3.19787e-008,0.7513
3.20173e-008,0.8448
3.20558e-008,0.9274
3.20944e-008,0.9928
3.21330e-008,1.0410
3.21715e-008,1.0815
3.22101e-008,1.1277
3.22487e-008,1.1467
3.22873e-008,1.1509
3.23259e-008,1.1297
3.23644e-008,1.0667
3.24030e-008,0.9692
3.24416e-008,0.8600
3.24801e-008,0.7426
3.25187e-008,0.6299
3.25573e-008,0.5367
3.25959e-008,0.4686
3.26344e-008,0.4203
3.26730e-008,0.3804
3.27116e-008,0.3685
3.27502e-008,0.3841
3.27888e-008,0.4268
3.28273e-008,0.5038
3.28659e-008,0.6110
3.29045e-008,0.7166
3.29430e-008,0.8111
3.29816e-008,0.8981
3.30202e-008,0.9703
3.30588e-008,1.0245
3.30974e-008,1.0641
3.31359e-008,1.0940
3.31745e-008,1.1143
3.32131e-008,1.1271
3.32516e-008,1.1378
3.32902e-008,1.1479
3.33288e-008,1.1564
3.33674e-008,1.1646
3.34060e-008,1.1720
3.34445e-008,1.1745
3.34831e-008,1.1741
3.35217e-008,1.1741
3.35603e-008,1.1742
3.35988e-008,1.1735
3.36374e-008,1.1730
3.36760e-008,1.1734
3.37145e-008,1.1738
3.37531e-008,1.1740
3.37917e-008,1.1746
3.38303e-008,1.1755
3.38689e-008,1.1762
3.39074e-008,1.1767
3.39460e-008,1.1769
3.39846e-008,1.1766
3.40231e-008,1.1761
3.40617e-008,1.1762
3.41003e-008,1.1765
3.41389e-008,1.1766
3.41775e-008,1.1766
3.42160e-008,1.1768
3.42546e-008,1.1769
3.42932e-008,1.1768
3.43318e-008,1.1768
3.43703e-008,1.1769
3.44089e-008,1.1769
3.44475e-008,1.1769
3.44860e-008,1.1768
3.45246e-008,1.1778
3.45632e-008,1.1813
3.46018e-008,1.1814
3.46404e-008,1.1668
3.46789e-008,1.1195
3.47175e-008,1.0324
3.47561e-008,0.9260
3.47946e-008,0.8143
3.48332e-008,0.7003
3.48718e-008,0.5971
3.49104e-008,0.5142
3.49490e-008,0.4544
3.49875e-008,0.4108
3.50261e-008,0.3762
3.50647e-008,0.3709
3.51032e-008,0.3918
3.51418e-008,0.4450
3.51804e-008,0.5312
3.52190e-008,0.6396
3.52575e-008,0.7410
3.52961e-008,0.8351
3.53347e-008,0.9193
3.53733e-008,0.9867
3.54119e-008,1.0366
3.54504e-008,1.0730
3.54890e-008,1.0999
3.55276e-008,1.1178
3.55661e-008,1.1295
3.56047e-008,1.1400
3.56433e-008,1.1499
3.56819e-008,1.1587
3.57205e-008,1.1669
3.57590e-008,1.1729
3.57976e-008,1.1744
3.58362e-008,1.1742
3.58747e-008,1.1744
3.59133e-008,1.1741
3.59519e-008,1.1734
3.59905e-008,1.1731
3.60290e-008,1.1736
3.60676e-008,1.1739
3.61062e-008,1.1742
3.61448e-008,1.1749
3.61834e-008,1.1759
3.62219e-008,1.1766
3.62605e-008,1.1770
3.62991e-008,1.1769
3.63376e-008,1.1765
3.63762e-008,1.1762
3.64148e-008,1.1764
3.64534e-008,1.1766
3.64920e-008,1.1766
3.65305e-008,1.1767
3.65691e-008,1.1769
3.66077e-008,1.1769
3.66462e-008,1.1769
3.66848e-008,1.1769
3.67234e-008,1.1770
3.67620e-008,1.1770
3.68006e-008,1.1769
3.68391e-008,1.1769
3.68777e-008,1.1785
3.69163e-008,1.1820
3.69549e-008,1.1802
3.69934e-008,1.1603
3.70320e-008,1.1042
3.70706e-008,1.0108
3.71091e-008,0.9031
3.71477e-008,0.7902
3.71863e-008,0.6774
3.72249e-008,0.5778
3.72635e-008,0.4998
3.73020e-008,0.4445
3.73406e-008,0.4024
3.73792e-008,0.3725
3.74177e-008,0.3731
3.74563e-008,0.4001
3.74949e-008,0.4604
3.75335e-008,0.5529
3.75721e-008,0.6620
3.76106e-008,0.7610
3.76492e-008,0.8539
3.76878e-008,0.9348
3.77263e-008,0.9986
3.77649e-008,1.0452
3.78035e-008,1.0865
3.78421e-008,1.1313
3.78806e-008,1.1479
3.79192e-008,1.1503
3.79578e-008,1.1254
3.79964e-008,1.0580
3.80350e-008,0.9585
3.80735e-008,0.8483
3.81121e-008,0.7306
3.81507e-008,0.6193
3.81892e-008,0.5287
3.82278e-008,0.4630
3.82664e-008,0.4159
3.83050e-008,0.3776
3.83436e-008,0.3692
3.83821e-008,0.3871
3.84207e-008,0.4330
3.84593e-008,0.5137
3.84978e-008,0.6224
3.85364e-008,0.7265
3.85750e-008,0.8204
3.86136e-008,0.9063
3.86521e-008,0.9766
3.86907e-008,1.0292
3.87293e-008,1.0676
3.87679e-008,1.0965
3.88065e-008,1.1159
3.88450e-008,1.1283
3.88836e-008,1.1390
3.89222e-008,1.1489
3.89607e-008,1.1573
3.89993e-008,1.1655
3.90379e-008,1.1725
3.90765e-008,1.1746
3.91151e-008,1.1741
3.91536e-008,1.1742
