.HEADER
..NAMES
Time,V U2.H7
.DATA
3.01657e-008,0.3161
3.02042e-008,0.3189
3.02428e-008,0.3220
3.02814e-008,0.3238
3.03199e-008,0.3243
3.03585e-008,0.3244
3.03971e-008,0.3240
3.04357e-008,0.3231
3.04743e-008,0.3220
3.05128e-008,0.3212
3.05514e-008,0.3209
3.05900e-008,0.3214
3.06285e-008,0.3217
3.06671e-008,0.3217
3.07057e-008,0.3218
3.07443e-008,0.3219
3.07829e-008,0.3217
3.08214e-008,0.3213
3.08600e-008,0.3211
3.08986e-008,0.3211
3.09372e-008,0.3210
3.09757e-008,0.3210
3.10143e-008,0.3210
3.10529e-008,0.3211
3.10914e-008,0.3213
3.11300e-008,0.3213
3.11686e-008,0.3213
3.12072e-008,0.3212
3.12458e-008,0.3212
3.12843e-008,0.3212
3.13229e-008,0.3211
3.13615e-008,0.3211
3.14000e-008,0.3212
3.14386e-008,0.3212
3.14772e-008,0.3212
3.15158e-008,0.3212
3.15544e-008,0.3212
3.15929e-008,0.3212
3.16315e-008,0.3217
3.16701e-008,0.3261
3.17087e-008,0.3405
3.17472e-008,0.3776
3.17858e-008,0.4478
3.18244e-008,0.5489
3.18629e-008,0.6669
3.19015e-008,0.7727
3.19401e-008,0.8643
3.19787e-008,0.9420
3.20173e-008,1.0030
3.20558e-008,1.0468
3.20944e-008,1.0780
3.21330e-008,1.1005
3.21715e-008,1.1168
3.22101e-008,1.1290
3.22487e-008,1.1398
3.22873e-008,1.1511
3.23259e-008,1.1616
3.23644e-008,1.1698
3.24030e-008,1.1733
3.24416e-008,1.1730
3.24801e-008,1.1727
3.25187e-008,1.1727
3.25573e-008,1.1729
3.25959e-008,1.1767
3.26344e-008,1.1799
3.26730e-008,1.1746
3.27116e-008,1.1462
3.27502e-008,1.0783
3.27888e-008,0.9789
3.28273e-008,0.8694
3.28659e-008,0.7537
3.29045e-008,0.6422
3.29430e-008,0.5473
3.29816e-008,0.4759
3.30202e-008,0.4262
3.30588e-008,0.3860
3.30974e-008,0.3668
3.31359e-008,0.3758
3.31745e-008,0.4123
3.32131e-008,0.4822
3.32516e-008,0.5835
3.32902e-008,0.6938
3.33288e-008,0.7951
3.33674e-008,0.8872
3.34060e-008,0.9632
3.34445e-008,1.0212
3.34831e-008,1.0628
3.35217e-008,1.0929
3.35603e-008,1.1128
3.35988e-008,1.1257
3.36374e-008,1.1370
3.36760e-008,1.1474
3.37145e-008,1.1567
3.37531e-008,1.1654
3.37917e-008,1.1721
3.38303e-008,1.1743
3.38689e-008,1.1744
3.39074e-008,1.1743
3.39460e-008,1.1738
3.39846e-008,1.1731
3.40231e-008,1.1728
3.40617e-008,1.1731
3.41003e-008,1.1734
3.41389e-008,1.1740
3.41775e-008,1.1750
3.42160e-008,1.1758
3.42546e-008,1.1764
3.42932e-008,1.1768
3.43318e-008,1.1766
3.43703e-008,1.1762
3.44089e-008,1.1761
3.44475e-008,1.1763
3.44860e-008,1.1764
3.45246e-008,1.1765
3.45632e-008,1.1766
3.46018e-008,1.1767
3.46404e-008,1.1767
3.46789e-008,1.1768
3.47175e-008,1.1768
3.47561e-008,1.1768
3.47946e-008,1.1767
3.48332e-008,1.1767
3.48718e-008,1.1766
3.49104e-008,1.1766
3.49490e-008,1.1767
3.49875e-008,1.1767
3.50261e-008,1.1767
3.50647e-008,1.1767
3.51032e-008,1.1767
3.51418e-008,1.1767
3.51804e-008,1.1767
3.52190e-008,1.1767
3.52575e-008,1.1767
3.52961e-008,1.1767
3.53347e-008,1.1767
3.53733e-008,1.1769
3.54119e-008,1.1796
3.54504e-008,1.1822
3.54890e-008,1.1757
3.55276e-008,1.1452
3.55661e-008,1.0751
3.56047e-008,0.9745
3.56433e-008,0.8644
3.56819e-008,0.7486
3.57205e-008,0.6380
3.57590e-008,0.5446
3.57976e-008,0.4743
3.58362e-008,0.4255
3.58747e-008,0.3920
3.59133e-008,0.3706
3.59519e-008,0.3581
3.59905e-008,0.3496
3.60290e-008,0.3417
3.60676e-008,0.3325
3.61062e-008,0.3232
3.61448e-008,0.3177
3.61834e-008,0.3156
3.62219e-008,0.3150
3.62605e-008,0.3160
3.62991e-008,0.3189
3.63376e-008,0.3219
3.63762e-008,0.3237
3.64148e-008,0.3243
3.64534e-008,0.3244
3.64920e-008,0.3241
3.65305e-008,0.3232
3.65691e-008,0.3221
3.66077e-008,0.3213
3.66462e-008,0.3209
3.66848e-008,0.3214
3.67234e-008,0.3217
3.67620e-008,0.3218
3.68006e-008,0.3229
3.68391e-008,0.3291
3.68777e-008,0.3478
3.69163e-008,0.3923
3.69549e-008,0.4708
3.69934e-008,0.5785
3.70320e-008,0.6958
3.70706e-008,0.7972
3.71091e-008,0.8858
3.71477e-008,0.9595
3.71863e-008,1.0161
3.72249e-008,1.0561
3.72635e-008,1.0847
3.73020e-008,1.1053
3.73406e-008,1.1203
3.73792e-008,1.1318
3.74177e-008,1.1427
3.74563e-008,1.1539
3.74949e-008,1.1641
3.75335e-008,1.1713
3.75721e-008,1.1735
3.76106e-008,1.1729
3.76492e-008,1.1727
3.76878e-008,1.1728
3.77263e-008,1.1734
3.77649e-008,1.1778
3.78035e-008,1.1797
3.78421e-008,1.1702
3.78806e-008,1.1326
3.79192e-008,1.0544
3.79578e-008,0.9509
3.79964e-008,0.8396
3.80350e-008,0.7236
3.80735e-008,0.6154
3.81121e-008,0.5263
3.81507e-008,0.4612
3.81892e-008,0.4166
3.82278e-008,0.3862
3.82664e-008,0.3673
3.83050e-008,0.3562
3.83436e-008,0.3480
3.83821e-008,0.3399
3.84207e-008,0.3304
3.84593e-008,0.3216
3.84978e-008,0.3170
3.85364e-008,0.3154
3.85750e-008,0.3149
3.86136e-008,0.3164
3.86521e-008,0.3196
3.86907e-008,0.3245
3.87293e-008,0.3360
3.87679e-008,0.3643
3.88065e-008,0.4223
3.88450e-008,0.5124
3.88836e-008,0.6263
3.89222e-008,0.7377
3.89607e-008,0.8331
3.89993e-008,0.9164
3.90379e-008,0.9840
3.90765e-008,1.0338
3.91151e-008,1.0697
3.91536e-008,1.1120
3.91922e-008,1.1425
3.92308e-008,1.1517
3.92693e-008,1.1448
3.93079e-008,1.1023
3.93465e-008,1.0176
3.93851e-008,0.9107
3.94237e-008,0.7931
3.94622e-008,0.6739
3.95008e-008,0.5701
3.95394e-008,0.4904
3.95780e-008,0.4351
3.96165e-008,0.3970
3.96551e-008,0.3738
3.96937e-008,0.3614
3.97322e-008,0.3513
3.97708e-008,0.3429
3.98094e-008,0.3355
3.98480e-008,0.3267
3.98866e-008,0.3188
3.99251e-008,0.3149
3.99637e-008,0.3136
4.00023e-008,0.3143
4.00408e-008,0.3171
4.00794e-008,0.3215
4.01180e-008,0.3293
4.01566e-008,0.3481
4.01952e-008,0.3909
4.02337e-008,0.4661
4.02723e-008,0.5700
4.03109e-008,0.6870
4.03494e-008,0.7895
4.03880e-008,0.8786
4.04266e-008,0.9537
4.04652e-008,1.0123
4.05037e-008,1.0537
4.05423e-008,1.0897
4.05809e-008,1.1323
4.06195e-008,1.1484
4.06581e-008,1.1513
4.06966e-008,1.1277
4.07352e-008,1.0622
4.07738e-008,0.9627
4.08123e-008,0.8502
4.08509e-008,0.7295
4.08895e-008,0.6167
4.09281e-008,0.5249
4.09667e-008,0.4587
4.10052e-008,0.4133
