"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Rise Rail Overshoot, [mV]","Rise Rail Overshoot Limit, [mV]","Rise Rail Overshoot Margin, [mV]","Rise Rail Overshoot, [Pass/Fail]","Rise Rail Overshoot Trace Point, [ns]","Fall Rail Undershoot, [mV]","Fall Rail Undershoot Limit, [mV]","Fall Rail Undershoot Margin, [mV]","Fall Rail Undershoot, [Pass/Fail]","Fall Rail Undershoot Trace Point, [ns]","Rise Rail Overshoot Area, [V*ns]","Rise Rail Overshoot Area Limit, [V*ns]","Rise Rail Overshoot Area Margin, [V*ns]","Rise Rail Overshoot Area, [Pass/Fail]","Rise Rail Overshoot Area Trace Point, [ns]","Fall Rail Undershoot Area, [V*ns]","Fall Rail Undershoot Area Limit, [V*ns]","Fall Rail Undershoot Area Margin, [V*ns]","Fall Rail Undershoot Area, [Pass/Fail]","Fall Rail Undershoot Area Trace Point, [ns]","Monotonic, [Pass/Fail]","Monotonic Trace Point, [ns]","VIH/L(AC) Min Limit, [Pass/Fail]","VIH/L(AC) Min Limit, Trace Point, [ns]","VIH/L(DC) Monotonicity, [Pass/Fail]","VIH/L(DC) Monotonicity Trace Point, [ns]","Vref Threshold Multi Cross, [Pass/Fail]","Max Slew Time, [ps]","Max Slew Time, [Pass/Fail]","VIX Limit Low, mV","VIX Limit Hi, mV","VIX Margin, mV","VIX, [Pass/Fail]","VIX Trace Point, [ns]","VID(AC) Limit, mV","VID(AC) Margin, mV","VID(AC), [Pass/Fail]","VID(AC) Trace Point, [ns]","VID(DC) Limit, mV","VID(DC), [Pass/Fail]","VID(DC) Trace Point, [ns]","VSEH/VSEL Limit Low, mV","VSEH/VSEL Limit Hi, mV","VSEH/VSEL Margin, mV","VSEH/VSEL, [Pass/Fail]","VSEH/VSEL Trace Point, [ns]","TVAC/TDVAC Min Time Over AC, ps","TVAC/TDVAC Time Limit, ps","TVAC/TDVAC Margin, ps","TVAC/TDVAC, [Pass/Fail]","TVAC/TDVAC Trace Point, [ns]"
"DRAM_A10","Pass","Write rank(1,1)","U1.AA15","U5.L7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 267.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   675","    75","   600","Pass"," 2.182"
"DRAM_A11","Pass","Write rank(1,1)","U1.AC12","U2.R7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 157.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   767","    75","   692","Pass","46.671"
"DRAM_A11","Pass","Write rank(1,1)","U1.AC12","U3.R7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 187.0","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   756","    75","   681","Pass","46.542"
"DRAM_A11","Pass","Write rank(1,1)","U1.AC12","U4.R7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 168.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   488","    75","   413","Pass","39.851"
"DRAM_A11","Pass","Write rank(1,1)","U1.AC12","U5.R7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 150.4","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   572","    75","   497","Pass","58.462"
"DRAM_A12","Pass","Write rank(1,1)","U1.AD12","U2.N7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 150.4","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   774","    75","   699","Pass","11.026"
"DRAM_A12","Pass","Write rank(1,1)","U1.AD12","U3.N7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 165.0","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   774","    75","   699","Pass","10.900"
"DRAM_A12","Pass","Write rank(1,1)","U1.AD12","U4.N7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 165.0","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   789","    75","   714","Pass","10.773"
"DRAM_A12","Pass","Write rank(1,1)","U1.AD12","U5.N7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 146.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   653","    57","   596","Pass","23.769"
"DRAM_A13","Pass","Write rank(1,1)","U1.AC17","U2.T3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 168.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   767","    75","   692","Pass","16.669"
