.HEADER
..NAMES
Time,V U1.AD24
.DATA
2.65396e-008,1.2249
2.65782e-008,1.2400
2.66167e-008,1.2310
2.66553e-008,1.1797
2.66939e-008,1.0667
2.67325e-008,0.9106
2.67710e-008,0.7430
2.68096e-008,0.5793
2.68482e-008,0.4426
2.68868e-008,0.3516
2.69254e-008,0.3054
2.69639e-008,0.2871
2.70025e-008,0.2650
2.70411e-008,0.2739
2.70797e-008,0.3116
2.71182e-008,0.3851
2.71568e-008,0.5040
2.71954e-008,0.6612
2.72340e-008,0.8079
2.72725e-008,0.9330
2.73111e-008,1.0364
2.73497e-008,1.1157
2.73882e-008,1.1691
2.74268e-008,1.2014
2.74654e-008,1.2510
2.75040e-008,1.2671
2.75425e-008,1.2591
2.75811e-008,1.2203
2.76197e-008,1.1259
2.76583e-008,0.9770
2.76968e-008,0.8090
2.77354e-008,0.6408
2.77740e-008,0.4932
2.78126e-008,0.3837
2.78512e-008,0.3206
2.78897e-008,0.2923
2.79283e-008,0.2682
2.79669e-008,0.2664
2.80055e-008,0.2931
2.80440e-008,0.3548
2.80826e-008,0.4591
2.81212e-008,0.6076
2.81598e-008,0.7615
2.81983e-008,0.8934
2.82369e-008,1.0043
2.82755e-008,1.0924
2.83140e-008,1.1549
2.83526e-008,1.1933
2.83912e-008,1.2152
2.84298e-008,1.2250
2.84683e-008,1.2260
2.85069e-008,1.2241
2.85455e-008,1.2219
2.85841e-008,1.2166
2.86226e-008,1.2059
2.86612e-008,1.1914
2.86998e-008,1.1751
2.87384e-008,1.1609
2.87770e-008,1.1546
2.88155e-008,1.1557
2.88541e-008,1.1597
2.88927e-008,1.1642
2.89313e-008,1.1688
2.89698e-008,1.1736
2.90084e-008,1.1774
2.90470e-008,1.1796
2.90855e-008,1.1812
2.91241e-008,1.1827
2.91627e-008,1.1833
2.92013e-008,1.1825
2.92398e-008,1.1818
2.92784e-008,1.1816
2.93170e-008,1.1822
2.93556e-008,1.1835
2.93941e-008,1.1848
2.94327e-008,1.1853
2.94713e-008,1.1851
2.95099e-008,1.1849
2.95485e-008,1.1849
2.95870e-008,1.1847
2.96256e-008,1.1844
2.96642e-008,1.1843
2.97028e-008,1.1844
2.97413e-008,1.1842
2.97799e-008,1.1840
2.98185e-008,1.1841
2.98570e-008,1.1843
2.98956e-008,1.1845
2.99342e-008,1.1846
2.99728e-008,1.1846
3.00113e-008,1.1844
3.00499e-008,1.1843
3.00885e-008,1.1842
3.01271e-008,1.1843
3.01657e-008,1.1843
3.02042e-008,1.1843
3.02428e-008,1.1843
3.02814e-008,1.1886
3.03199e-008,1.1929
3.03585e-008,1.1839
3.03971e-008,1.1383
3.04357e-008,1.0322
3.04743e-008,0.8852
3.05128e-008,0.7376
3.05514e-008,0.5994
3.05900e-008,0.4840
3.06285e-008,0.3987
3.06671e-008,0.3454
3.07057e-008,0.3161
3.07443e-008,0.2864
3.07829e-008,0.2833
3.08214e-008,0.3088
3.08600e-008,0.3739
3.08986e-008,0.4836
3.09372e-008,0.6331
3.09757e-008,0.7821
3.10143e-008,0.9106
3.10529e-008,1.0203
3.10914e-008,1.1049
3.11300e-008,1.1615
3.11686e-008,1.1952
3.12072e-008,1.2142
3.12458e-008,1.2222
3.12843e-008,1.2225
3.13229e-008,1.2217
3.13615e-008,1.2205
3.14000e-008,1.2150
3.14386e-008,1.2042
3.14772e-008,1.1894
3.15158e-008,1.1727
3.15544e-008,1.1589
3.15929e-008,1.1540
