.HEADER
..NAMES
Time,V U1.AD25
.DATA
1.96347e-008,0.2727
1.96732e-008,0.2710
1.97118e-008,0.2752
1.97504e-008,0.2881
1.97890e-008,0.3098
1.98275e-008,0.3323
1.98661e-008,0.3480
1.99047e-008,0.3558
1.99433e-008,0.3570
1.99819e-008,0.3527
2.00204e-008,0.3441
2.00590e-008,0.3339
2.00976e-008,0.3256
2.01362e-008,0.3205
2.01747e-008,0.3175
2.02133e-008,0.3157
2.02519e-008,0.3149
2.02905e-008,0.3155
2.03290e-008,0.3168
2.03676e-008,0.3180
2.04062e-008,0.3181
2.04447e-008,0.3167
2.04833e-008,0.3149
2.05219e-008,0.3136
2.05605e-008,0.3129
2.05990e-008,0.3125
2.06376e-008,0.3124
2.06762e-008,0.3130
2.07148e-008,0.3137
2.07533e-008,0.3142
2.07919e-008,0.3143
2.08305e-008,0.3144
2.08691e-008,0.3146
2.09077e-008,0.3147
2.09462e-008,0.3145
2.09848e-008,0.3142
2.10234e-008,0.3139
2.10620e-008,0.3138
2.11005e-008,0.3139
2.11391e-008,0.3141
2.11777e-008,0.3142
2.12163e-008,0.3143
2.12548e-008,0.3144
2.12934e-008,0.3144
2.13320e-008,0.3144
2.13705e-008,0.3143
2.14091e-008,0.3143
2.14477e-008,0.3143
2.14863e-008,0.3143
2.15248e-008,0.3143
2.15634e-008,0.3143
2.16020e-008,0.3143
2.16406e-008,0.3143
2.16791e-008,0.3144
2.17177e-008,0.3144
2.17563e-008,0.3144
2.17949e-008,0.3144
2.18335e-008,0.3175
2.18720e-008,0.3304
2.19106e-008,0.3680
2.19492e-008,0.4500
2.19878e-008,0.5778
2.20263e-008,0.7357
2.20649e-008,0.8747
2.21035e-008,0.9755
2.21420e-008,1.0467
2.21806e-008,1.0973
2.22192e-008,1.1329
2.22578e-008,1.1573
2.22963e-008,1.2029
2.23349e-008,1.2340
2.23735e-008,1.2401
2.24121e-008,1.2171
2.24506e-008,1.1406
2.24892e-008,1.0047
2.25278e-008,0.8400
2.25664e-008,0.6686
2.26050e-008,0.5115
2.26435e-008,0.3898
2.26821e-008,0.3182
2.27207e-008,0.2876
2.27593e-008,0.2774
2.27978e-008,0.2730
2.28364e-008,0.2708
2.28750e-008,0.2682
2.29136e-008,0.2627
2.29521e-008,0.2620
2.29907e-008,0.2684
2.30293e-008,0.2817
2.30678e-008,0.3018
2.31064e-008,0.3237
2.31450e-008,0.3421
2.31836e-008,0.3539
2.32221e-008,0.3589
2.32607e-008,0.3639
2.32993e-008,0.3830
2.33379e-008,0.4359
2.33764e-008,0.5360
2.34150e-008,0.6751
2.34536e-008,0.8241
2.34922e-008,0.9361
2.35308e-008,1.0175
2.35693e-008,1.0772
2.36079e-008,1.1207
2.36465e-008,1.1512
2.36851e-008,1.1790
2.37236e-008,1.2276
2.37622e-008,1.2420
2.38008e-008,1.2332
2.38394e-008,1.1836
2.38779e-008,1.0723
2.39165e-008,0.9149
2.39551e-008,0.7445
2.39936e-008,0.5791
2.40322e-008,0.4406
2.40708e-008,0.3463
2.41094e-008,0.2991
2.41479e-008,0.2820
2.41865e-008,0.2625
2.42251e-008,0.2702
2.42637e-008,0.3068
2.43023e-008,0.3802
2.43408e-008,0.4972
2.43794e-008,0.6542
2.44180e-008,0.8038
2.44566e-008,0.9311
2.44951e-008,1.0368
2.45337e-008,1.1184
2.45723e-008,1.1738
2.46109e-008,1.2064
2.46494e-008,1.2238
2.46880e-008,1.2310
2.47266e-008,1.2303
2.47651e-008,1.2270
2.48037e-008,1.2231
2.48423e-008,1.2159
2.48809e-008,1.2033
2.49194e-008,1.1870
2.49580e-008,1.1701
2.49966e-008,1.1565
2.50352e-008,1.1513
2.50737e-008,1.1532
2.51123e-008,1.1634
2.51509e-008,1.1741
2.51895e-008,1.1742
2.52281e-008,1.1446
2.52666e-008,1.0567
2.53052e-008,0.9168
2.53438e-008,0.7685
2.53824e-008,0.6273
2.54209e-008,0.5048
2.54595e-008,0.4097
2.54981e-008,0.3483
2.55367e-008,0.3157
2.55752e-008,0.2895
2.56138e-008,0.2803
2.56524e-008,0.2999
2.56909e-008,0.3552
2.57295e-008,0.4536
2.57681e-008,0.5950
2.58067e-008,0.7506
2.58452e-008,0.8850
2.58838e-008,1.0001
2.59224e-008,1.0926
2.59610e-008,1.1568
2.59995e-008,1.1949
2.60381e-008,1.2322
2.60767e-008,1.2640
2.61153e-008,1.2677
2.61539e-008,1.2474
2.61924e-008,1.1851
2.62310e-008,1.0619
2.62696e-008,0.8989
2.63082e-008,0.7250
2.63467e-008,0.5608
2.63853e-008,0.4269
2.64239e-008,0.3389
2.64625e-008,0.2960
2.65010e-008,0.2794
2.65396e-008,0.2722
2.65782e-008,0.2683
2.66167e-008,0.2661
2.66553e-008,0.2617
2.66939e-008,0.2600
2.67325e-008,0.2645
2.67710e-008,0.2758
2.68096e-008,0.2944
2.68482e-008,0.3168
2.68868e-008,0.3370
2.69254e-008,0.3513
2.69639e-008,0.3578
2.70025e-008,0.3617
2.70411e-008,0.3753
2.70797e-008,0.4169
2.71182e-008,0.5046
2.71568e-008,0.6347
2.71954e-008,0.7872
2.72340e-008,0.9097
2.72725e-008,0.9984
