.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
2.25664e-008,0.8826
2.26050e-008,0.8838
2.26435e-008,0.8394
2.26821e-008,0.6905
2.27207e-008,0.4513
2.27593e-008,0.1631
2.27978e-008,-0.1423
2.28364e-008,-0.4090
2.28750e-008,-0.5928
2.29136e-008,-0.7131
2.29521e-008,-0.7750
2.29907e-008,-0.8122
2.30293e-008,-0.8226
2.30678e-008,-0.7881
2.31064e-008,-0.7410
2.31450e-008,-0.6090
2.31836e-008,-0.4251
2.32221e-008,-0.2036
2.32607e-008,0.0389
2.32993e-008,0.2630
2.33379e-008,0.4463
2.33764e-008,0.6038
2.34150e-008,0.7125
2.34536e-008,0.7955
2.34922e-008,0.8729
2.35308e-008,0.8831
2.35693e-008,0.8621
2.36079e-008,0.7494
2.36465e-008,0.5338
2.36851e-008,0.2578
2.37236e-008,-0.0462
2.37622e-008,-0.3345
2.38008e-008,-0.5418
2.38394e-008,-0.6816
2.38779e-008,-0.7602
2.39165e-008,-0.7970
2.39551e-008,-0.8249
2.39936e-008,-0.8022
2.40322e-008,-0.7662
2.40708e-008,-0.6584
2.41094e-008,-0.4879
2.41479e-008,-0.2766
2.41865e-008,-0.0391
2.42251e-008,0.1979
2.42637e-008,0.3900
2.43023e-008,0.5590
2.43408e-008,0.6827
2.43794e-008,0.7670
2.44180e-008,0.8573
2.44566e-008,0.8855
2.44951e-008,0.8759
2.45337e-008,0.7977
2.45723e-008,0.6107
2.46109e-008,0.3489
2.46494e-008,0.0511
2.46880e-008,-0.2498
2.47266e-008,-0.4847
2.47651e-008,-0.6440
2.48037e-008,-0.7413
2.48423e-008,-0.7881
2.48809e-008,-0.8225
2.49194e-008,-0.8145
2.49580e-008,-0.7836
2.49966e-008,-0.7014
2.50352e-008,-0.5461
2.50737e-008,-0.3471
2.51123e-008,-0.1164
2.51509e-008,0.1267
2.51895e-008,0.3325
2.52281e-008,0.5092
2.52666e-008,0.6491
2.53052e-008,0.7433
2.53438e-008,0.8348
2.53824e-008,0.8830
2.54209e-008,0.8821
2.54595e-008,0.8343
2.54981e-008,0.6798
2.55367e-008,0.4371
2.55752e-008,0.1478
2.56138e-008,-0.1576
2.56524e-008,-0.4203
2.56909e-008,-0.6005
2.57295e-008,-0.7176
2.57681e-008,-0.7769
2.58067e-008,-0.8151
2.58452e-008,-0.8223
2.58838e-008,-0.7912
2.59224e-008,-0.7366
2.59610e-008,-0.6005
2.59995e-008,-0.4148
2.60381e-008,-0.1918
2.60767e-008,0.0513
2.61153e-008,0.2726
2.61539e-008,0.4557
2.61924e-008,0.6106
2.62310e-008,0.7170
2.62696e-008,0.8045
2.63082e-008,0.8754
2.63467e-008,0.8824
2.63853e-008,0.8596
2.64239e-008,0.7403
2.64625e-008,0.5209
2.65010e-008,0.2425
2.65396e-008,-0.0622
2.65782e-008,-0.3471
2.66167e-008,-0.5505
2.66553e-008,-0.6874
2.66939e-008,-0.7628
2.67325e-008,-0.7984
2.67710e-008,-0.8244
2.68096e-008,-0.7996
2.68482e-008,-0.7617
2.68868e-008,-0.6510
2.69254e-008,-0.4777
2.69639e-008,-0.2649
2.70025e-008,-0.0264
2.70411e-008,0.2091
2.70797e-008,0.3990
2.71182e-008,0.5663
2.71568e-008,0.6878
2.71954e-008,0.7703
2.72340e-008,0.8612
2.72725e-008,0.8858
2.73111e-008,0.8750
2.73497e-008,0.7907
2.73882e-008,0.5991
2.74268e-008,0.3343
2.74654e-008,0.0351
2.75040e-008,-0.2640
2.75425e-008,-0.4943
2.75811e-008,-0.6508
2.76197e-008,-0.7448
2.76583e-008,-0.7900
2.76968e-008,-0.8225
2.77354e-008,-0.8125
2.77740e-008,-0.7797
2.78126e-008,-0.6949
2.78512e-008,-0.5368
2.78897e-008,-0.3356
2.79283e-008,-0.1039
2.79669e-008,0.1387
2.80055e-008,0.3420
2.80440e-008,0.5170
2.80826e-008,0.6548
2.81212e-008,0.7473
2.81598e-008,0.8404
2.81983e-008,0.8842
2.82369e-008,0.8828
2.82755e-008,0.8294
2.83140e-008,0.6696
