.HEADER
..NAMES
Time,V U1.AC17
.DATA
2.75796e-008,1.0745
2.76163e-008,1.0685
2.76530e-008,1.0521
2.76896e-008,1.0310
2.77263e-008,1.0135
2.77630e-008,1.0057
2.77997e-008,1.0083
2.78363e-008,1.0177
2.78730e-008,1.0278
2.79097e-008,1.0337
2.79463e-008,1.0331
2.79830e-008,1.0269
2.80197e-008,1.0180
2.80564e-008,1.0099
2.80930e-008,1.0051
2.81297e-008,1.0042
2.81664e-008,1.0069
2.82031e-008,1.0116
2.82398e-008,1.0169
2.82764e-008,1.0248
2.83131e-008,1.0318
2.83498e-008,1.0264
2.83865e-008,0.9910
2.84231e-008,0.9060
2.84598e-008,0.7878
2.84965e-008,0.6714
2.85331e-008,0.5724
2.85698e-008,0.4958
2.86065e-008,0.4400
2.86432e-008,0.3999
2.86798e-008,0.3677
2.87165e-008,0.3404
2.87532e-008,0.3173
2.87899e-008,0.3006
2.88266e-008,0.2912
2.88632e-008,0.2888
2.88999e-008,0.2908
2.89366e-008,0.2943
2.89733e-008,0.2969
2.90099e-008,0.2980
2.90466e-008,0.2980
2.90833e-008,0.2981
2.91199e-008,0.2989
2.91566e-008,0.3011
2.91933e-008,0.3073
2.92300e-008,0.3285
2.92666e-008,0.3789
2.93033e-008,0.4778
2.93400e-008,0.6198
2.93767e-008,0.7757
2.94133e-008,0.9018
2.94500e-008,0.9745
2.94867e-008,1.0172
2.95234e-008,1.0525
2.95601e-008,1.0898
2.95967e-008,1.1278
2.96334e-008,1.1599
2.96701e-008,1.1819
2.97068e-008,1.1936
2.97434e-008,1.1968
2.97801e-008,1.1952
2.98168e-008,1.1927
2.98534e-008,1.1923
2.98901e-008,1.1945
2.99268e-008,1.1980
2.99635e-008,1.2006
3.00002e-008,1.2008
3.00368e-008,1.1987
3.00735e-008,1.1941
3.01102e-008,1.1856
3.01469e-008,1.1691
3.01835e-008,1.1430
3.02202e-008,1.1109
3.02569e-008,1.0826
3.02935e-008,1.0676
3.03302e-008,1.0668
3.03669e-008,1.0725
3.04036e-008,1.0739
3.04403e-008,1.0644
3.04769e-008,1.0451
3.05136e-008,1.0237
3.05503e-008,1.0087
3.05869e-008,1.0050
3.06236e-008,1.0113
3.06603e-008,1.0223
3.06970e-008,1.0317
3.07336e-008,1.0353
3.07703e-008,1.0321
3.08070e-008,1.0241
3.08437e-008,1.0148
3.08804e-008,1.0074
3.09170e-008,1.0038
3.09537e-008,1.0043
3.09904e-008,1.0082
3.10270e-008,1.0135
3.10637e-008,1.0194
3.11004e-008,1.0280
3.11371e-008,1.0327
3.11738e-008,1.0212
3.12104e-008,0.9733
3.12471e-008,0.8756
3.12838e-008,0.7550
3.13205e-008,0.6424
3.13571e-008,0.5497
3.13938e-008,0.4796
3.14305e-008,0.4290
3.14671e-008,0.3910
3.15038e-008,0.3602
3.15405e-008,0.3330
3.15772e-008,0.3112
3.16139e-008,0.2965
3.16505e-008,0.2897
3.16872e-008,0.2893
3.17239e-008,0.2925
3.17605e-008,0.2960
3.17972e-008,0.2981
3.18339e-008,0.2984
3.18706e-008,0.2979
3.19072e-008,0.2979
3.19439e-008,0.2989
3.19806e-008,0.3020
3.20173e-008,0.3097
3.20540e-008,0.3246
3.20906e-008,0.3481
3.21273e-008,0.3762
3.21640e-008,0.4001
3.22006e-008,0.4129
3.22373e-008,0.4120
3.22740e-008,0.4015
3.23107e-008,0.3898
3.23474e-008,0.3847
3.23840e-008,0.3882
3.24207e-008,0.3979
3.24574e-008,0.4086
3.24941e-008,0.4156
3.25307e-008,0.4165
3.25674e-008,0.4121
3.26041e-008,0.4053
3.26407e-008,0.3997
3.26774e-008,0.3978
3.27141e-008,0.4000
3.27508e-008,0.4050
3.27875e-008,0.4108
3.28241e-008,0.4153
3.28608e-008,0.4173
3.28975e-008,0.4166
3.29341e-008,0.4157
3.29708e-008,0.4209
3.30075e-008,0.4423
3.30442e-008,0.4975
3.30808e-008,0.5921
3.31175e-008,0.7068
3.31542e-008,0.8200
3.31909e-008,0.8991
3.32276e-008,0.9527
3.32642e-008,0.9913
3.33009e-008,1.0211
3.33376e-008,1.0442
3.33742e-008,1.0630
3.34109e-008,1.0796
3.34476e-008,1.0950
3.34843e-008,1.1089
3.35210e-008,1.1197
3.35576e-008,1.1261
3.35943e-008,1.1279
3.36310e-008,1.1258
3.36677e-008,1.1212
3.37043e-008,1.1153
3.37410e-008,1.1098
