.HEADER
..NAMES
Time,V U1.AE13
.DATA
1.54035e-008,0.9708
1.54402e-008,1.0028
1.54769e-008,1.0287
1.55135e-008,1.0510
1.55502e-008,1.0694
1.55869e-008,1.0831
1.56236e-008,1.0933
1.56602e-008,1.1026
1.56969e-008,1.1119
1.57336e-008,1.1206
1.57703e-008,1.1273
1.58069e-008,1.1310
1.58436e-008,1.1310
1.58803e-008,1.1276
1.59169e-008,1.1216
1.59536e-008,1.1152
1.59903e-008,1.1106
1.60270e-008,1.1066
1.60636e-008,1.1023
1.61003e-008,1.0948
1.61370e-008,1.0731
1.61737e-008,1.0250
1.62104e-008,0.9311
1.62470e-008,0.7919
1.62837e-008,0.6502
1.63204e-008,0.5360
1.63571e-008,0.4504
1.63937e-008,0.3849
1.64304e-008,0.3325
1.64671e-008,0.2905
1.65037e-008,0.2593
1.65404e-008,0.2402
1.65771e-008,0.2307
1.66138e-008,0.2267
1.66504e-008,0.2243
1.66871e-008,0.2208
1.67238e-008,0.2156
1.67605e-008,0.2096
1.67972e-008,0.2041
1.68338e-008,0.2008
1.68705e-008,0.2010
1.69072e-008,0.2048
1.69439e-008,0.2110
1.69805e-008,0.2163
1.70172e-008,0.2233
1.70539e-008,0.2451
1.70905e-008,0.3014
1.71272e-008,0.4140
1.71639e-008,0.5767
1.72006e-008,0.7571
1.72372e-008,0.8943
1.72739e-008,0.9759
1.73106e-008,1.0204
1.73473e-008,1.0521
1.73840e-008,1.0861
1.74206e-008,1.1233
1.74573e-008,1.1560
1.74940e-008,1.1776
1.75307e-008,1.1868
1.75673e-008,1.1874
1.76040e-008,1.1851
1.76407e-008,1.1844
1.76773e-008,1.1878
1.77140e-008,1.1949
1.77507e-008,1.2030
1.77874e-008,1.2089
1.78240e-008,1.2101
1.78607e-008,1.2059
1.78974e-008,1.1981
1.79341e-008,1.1887
1.79708e-008,1.1772
1.80074e-008,1.1598
1.80441e-008,1.1339
1.80808e-008,1.1033
1.81175e-008,1.0770
1.81541e-008,1.0616
1.81908e-008,1.0578
1.82275e-008,1.0600
1.82641e-008,1.0597
1.83008e-008,1.0511
1.83375e-008,1.0349
1.83742e-008,1.0174
1.84108e-008,1.0062
1.84475e-008,1.0053
1.84842e-008,1.0134
1.85209e-008,1.0250
1.85576e-008,1.0340
1.85942e-008,1.0364
1.86309e-008,1.0316
1.86676e-008,1.0219
1.87043e-008,1.0113
1.87409e-008,1.0036
1.87776e-008,1.0018
1.88143e-008,1.0061
1.88509e-008,1.0138
1.88876e-008,1.0229
1.89243e-008,1.0301
1.89610e-008,1.0249
1.89976e-008,0.9932
1.90343e-008,0.9144
1.90710e-008,0.7957
1.91077e-008,0.6740
1.91444e-008,0.5691
1.91810e-008,0.4877
1.92177e-008,0.4305
1.92544e-008,0.3931
1.92911e-008,0.3684
1.93277e-008,0.3502
1.93644e-008,0.3341
1.94011e-008,0.3182
1.94377e-008,0.3033
1.94744e-008,0.2917
1.95111e-008,0.2851
1.95478e-008,0.2836
1.95844e-008,0.2864
1.96211e-008,0.2911
1.96578e-008,0.2954
1.96945e-008,0.2981
1.97312e-008,0.2991
1.97678e-008,0.2987
1.98045e-008,0.2983
1.98412e-008,0.3075
1.98779e-008,0.3408
1.99145e-008,0.4200
1.99512e-008,0.5557
1.99879e-008,0.7254
2.00245e-008,0.8860
2.00612e-008,0.9882
2.00979e-008,1.0400
2.01346e-008,1.0649
2.01712e-008,1.0850
2.02079e-008,1.1107
2.02446e-008,1.1408
2.02813e-008,1.1684
2.03179e-008,1.1884
2.03546e-008,1.1996
2.03913e-008,1.2033
2.04280e-008,1.2027
2.04647e-008,1.2009
2.05013e-008,1.2001
2.05380e-008,1.2012
2.05747e-008,1.2036
2.06114e-008,1.2057
2.06480e-008,1.2060
2.06847e-008,1.2038
2.07214e-008,1.1990
2.07580e-008,1.1904
2.07947e-008,1.1749
2.08314e-008,1.1497
2.08681e-008,1.1170
2.09047e-008,1.0854
2.09414e-008,1.0646
2.09781e-008,1.0578
2.10148e-008,1.0612
2.10515e-008,1.0656
2.10881e-008,1.0624
2.11248e-008,1.0491
2.11615e-008,1.0300
2.11982e-008,1.0129
2.12348e-008,1.0042
2.12715e-008,1.0059
2.13082e-008,1.0148
2.13448e-008,1.0251
2.13815e-008,1.0318
2.14182e-008,1.0322
2.14549e-008,1.0267
2.14915e-008,1.0178
2.15282e-008,1.0089
2.15649e-008,1.0030
2.16016e-008,1.0025
2.16383e-008,1.0066
2.16749e-008,1.0133
2.17116e-008,1.0223
2.17483e-008,1.0283
2.17850e-008,1.0202
2.18216e-008,0.9810
2.18583e-008,0.8921
2.18950e-008,0.7712
2.19316e-008,0.6524
2.19683e-008,0.5504
2.20050e-008,0.4722
