.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
1.90175e-008,0.6846
1.90560e-008,0.5141
1.90946e-008,0.3885
1.91332e-008,0.3120
1.91718e-008,0.2826
1.92104e-008,0.2851
1.92489e-008,0.2823
1.92875e-008,0.2956
1.93261e-008,0.3317
1.93647e-008,0.4081
1.94032e-008,0.5387
1.94418e-008,0.7147
1.94804e-008,0.8922
1.95190e-008,1.0329
1.95575e-008,1.1283
1.95961e-008,1.1831
1.96347e-008,1.2054
1.96732e-008,1.2050
1.97118e-008,1.2189
1.97504e-008,1.2333
1.97890e-008,1.2270
1.98275e-008,1.1919
1.98661e-008,1.0962
1.99047e-008,0.9325
1.99433e-008,0.7438
1.99819e-008,0.5639
2.00204e-008,0.4230
2.00590e-008,0.3309
2.00976e-008,0.2871
2.01362e-008,0.2827
2.01747e-008,0.2834
2.02133e-008,0.2889
2.02519e-008,0.3171
2.02905e-008,0.3782
2.03290e-008,0.4916
2.03676e-008,0.6554
2.04062e-008,0.8396
2.04447e-008,0.9933
2.04833e-008,1.1030
2.05219e-008,1.1697
2.05605e-008,1.2014
2.05990e-008,1.2069
2.06376e-008,1.2062
2.06762e-008,1.2317
2.07148e-008,1.2313
2.07533e-008,1.2078
2.07919e-008,1.1347
2.08305e-008,0.9895
2.08691e-008,0.8036
2.09077e-008,0.6176
2.09462e-008,0.4623
2.09848e-008,0.3547
2.10234e-008,0.2960
2.10620e-008,0.2810
2.11005e-008,0.2886
2.11391e-008,0.2852
2.11777e-008,0.3060
2.12163e-008,0.3538
2.12548e-008,0.4498
2.12934e-008,0.5991
2.13320e-008,0.7832
2.13705e-008,0.9488
2.14091e-008,1.0733
2.14477e-008,1.1528
2.14863e-008,1.1947
2.15248e-008,1.2072
2.15634e-008,1.2022
2.16020e-008,1.2282
2.16406e-008,1.2332
2.16791e-008,1.2187
2.17177e-008,1.1656
2.17563e-008,1.0426
2.17949e-008,0.8637
2.18335e-008,0.6748
2.18720e-008,0.5065
2.19106e-008,0.3836
2.19492e-008,0.3096
2.19878e-008,0.2822
2.20263e-008,0.2853
2.20649e-008,0.2831
2.21035e-008,0.2970
2.21420e-008,0.3343
2.21806e-008,0.4135
2.22192e-008,0.5468
2.22578e-008,0.7244
2.22963e-008,0.9003
2.23349e-008,1.0389
2.23735e-008,1.1321
2.24121e-008,1.1851
2.24506e-008,1.2059
2.24892e-008,1.2046
2.25278e-008,1.2220
2.25664e-008,1.2337
2.26050e-008,1.2261
2.26435e-008,1.1888
2.26821e-008,1.0894
2.27207e-008,0.9232
2.27593e-008,0.7339
2.27978e-008,0.5554
2.28364e-008,0.4173
2.28750e-008,0.3275
2.29136e-008,0.2862
2.29521e-008,0.2828
2.29907e-008,0.2840
2.30293e-008,0.2901
2.30678e-008,0.3193
2.31064e-008,0.3827
2.31450e-008,0.4989
2.31836e-008,0.6651
2.32221e-008,0.8482
2.32607e-008,1.0000
2.32993e-008,1.1074
2.33379e-008,1.1722
2.33764e-008,1.2022
2.34150e-008,1.2066
2.34536e-008,1.2061
2.34922e-008,1.2313
2.35308e-008,1.2304
2.35693e-008,1.2056
2.36079e-008,1.1291
2.36465e-008,0.9805
2.36851e-008,0.7942
2.37236e-008,0.6088
2.37622e-008,0.4556
2.38008e-008,0.3504
2.38394e-008,0.2943
2.38779e-008,0.2812
2.39165e-008,0.2892
2.39551e-008,0.2853
2.39936e-008,0.3076
2.40322e-008,0.3575
2.40708e-008,0.4561
2.41094e-008,0.6079
2.41479e-008,0.7924
2.41865e-008,0.9563
2.42251e-008,1.0784
2.42637e-008,1.1557
2.43023e-008,1.1958
2.43408e-008,1.2072
2.43794e-008,1.2018
2.44180e-008,1.2279
2.44566e-008,1.2328
2.44951e-008,1.2172
2.45337e-008,1.1610
2.45723e-008,1.0342
2.46109e-008,0.8539
2.46494e-008,0.6656
2.46880e-008,0.4990
2.47266e-008,0.3784
2.47651e-008,0.3069
2.48037e-008,0.2819
2.48423e-008,0.2861
2.48809e-008,0.2826
2.49194e-008,0.2982
2.49580e-008,0.3371
2.49966e-008,0.4189
2.50352e-008,0.5549
2.50737e-008,0.7340
2.51123e-008,0.9085
2.51509e-008,1.0447
2.51895e-008,1.1356
2.52281e-008,1.1867
2.52666e-008,1.2063
2.53052e-008,1.2043
2.53438e-008,1.2217
2.53824e-008,1.2334
2.54209e-008,1.2251
2.54595e-008,1.1854
2.54981e-008,1.0821
2.55367e-008,0.9135
2.55752e-008,0.7245
2.56138e-008,0.5473
2.56524e-008,0.4114
2.56909e-008,0.3240
2.57295e-008,0.2852
2.57681e-008,0.2833
2.58067e-008,0.2826
2.58452e-008,0.2908
2.58838e-008,0.3214
2.59224e-008,0.3873
2.59610e-008,0.5062
2.59995e-008,0.6745
2.60381e-008,0.8570
2.60767e-008,1.0066
2.61153e-008,1.1116
2.61539e-008,1.1743
2.61924e-008,1.2029
2.62310e-008,1.2063
2.62696e-008,1.2116
2.63082e-008,1.2324
2.63467e-008,1.2301
2.63853e-008,1.2033
2.64239e-008,1.1232
2.64625e-008,0.9714
2.65010e-008,0.7842
2.65396e-008,0.5996
2.65782e-008,0.4490
2.66167e-008,0.3464
2.66553e-008,0.2927
2.66939e-008,0.2813
2.67325e-008,0.2896
2.67710e-008,0.2864
2.68096e-008,0.3094
2.68482e-008,0.3611
2.68868e-008,0.4627
2.69254e-008,0.6169
2.69639e-008,0.8016
2.70025e-008,0.9636
2.70411e-008,1.0833
2.70797e-008,1.1587
2.71182e-008,1.1972
2.71568e-008,1.2072
2.71954e-008,1.2012
2.72340e-008,1.2296
2.72725e-008,1.2327
2.73111e-008,1.2156
2.73497e-008,1.1564
2.73882e-008,1.0260
2.74268e-008,0.8442
2.74654e-008,0.6560
2.75040e-008,0.4916
2.75425e-008,0.3738
2.75811e-008,0.3045
2.76197e-008,0.2816
2.76583e-008,0.2863
2.76968e-008,0.2834
2.77354e-008,0.2997
2.77740e-008,0.3400
2.78126e-008,0.4246
2.78512e-008,0.5633
2.78897e-008,0.7436
2.79283e-008,0.9164
2.79669e-008,1.0505
2.80055e-008,1.1392
2.80440e-008,1.1885
2.80826e-008,1.2066
2.81212e-008,1.2039
2.81598e-008,1.2244
2.81983e-008,1.2337
2.82369e-008,1.2241
2.82755e-008,1.1820
2.83140e-008,1.0750
2.83526e-008,0.9039
2.83912e-008,0.7146
2.84298e-008,0.5391
2.84683e-008,0.4059
2.85069e-008,0.3211
2.85455e-008,0.2845
2.85841e-008,0.2834
2.86226e-008,0.2833
2.86612e-008,0.2921
2.86998e-008,0.3237
2.87384e-008,0.3920
2.87770e-008,0.5138
2.88155e-008,0.6842
2.88541e-008,0.8655
2.88927e-008,1.0131
2.89313e-008,1.1158
2.89698e-008,1.1766
2.90084e-008,1.2036
2.90470e-008,1.2059
2.90855e-008,1.2112
2.91241e-008,1.2320
2.91627e-008,1.2292
2.92013e-008,1.2007
2.92398e-008,1.1171
2.92784e-008,0.9622
2.93170e-008,0.7748
2.93556e-008,0.5911
2.93941e-008,0.4425
2.94327e-008,0.3425
2.94713e-008,0.2912
2.95099e-008,0.2816
2.95485e-008,0.2869
2.95870e-008,0.2866
2.96256e-008,0.3112
2.96642e-008,0.3651
2.97028e-008,0.4694
2.97413e-008,0.6260
2.97799e-008,0.8109
2.98185e-008,0.9709
2.98570e-008,1.0881
2.98956e-008,1.1614
2.99342e-008,1.1982
2.99728e-008,1.2072
3.00113e-008,1.2009
3.00499e-008,1.2293
3.00885e-008,1.2323
3.01271e-008,1.2138
3.01657e-008,1.1515
3.02042e-008,1.0174
3.02428e-008,0.8345
3.02814e-008,0.6469
3.03199e-008,0.4843
3.03585e-008,0.3689
3.03971e-008,0.3021
3.04357e-008,0.2814
3.04743e-008,0.2871
3.05128e-008,0.2831
3.05514e-008,0.3009
3.05900e-008,0.3431
3.06285e-008,0.4304
3.06671e-008,0.5716
3.07057e-008,0.7532
3.07443e-008,0.9244
3.07829e-008,1.0560
3.08214e-008,1.1425
3.08600e-008,1.1900
3.08986e-008,1.2068
3.09372e-008,1.2036
3.09757e-008,1.2241
3.10143e-008,1.2334
3.10529e-008,1.2229
3.10914e-008,1.1783
3.11300e-008,1.0674
3.11686e-008,0.8942
3.12072e-008,0.7052
3.12458e-008,0.5311
3.12843e-008,0.4001
3.13229e-008,0.3179
3.13615e-008,0.2837
3.14000e-008,0.2840
3.14386e-008,0.2822
3.14772e-008,0.2929
3.15158e-008,0.3261
3.15544e-008,0.3969
3.15929e-008,0.5213
3.16315e-008,0.6937
3.16701e-008,0.8741
3.17087e-008,1.0194
3.17472e-008,1.1197
3.17858e-008,1.1787
3.18244e-008,1.2042
3.18629e-008,1.2057
3.19015e-008,1.2156
3.19401e-008,1.2329
3.19787e-008,1.2287
3.20173e-008,1.1981
3.20558e-008,1.1106
3.20944e-008,0.9529
3.21330e-008,0.7647
3.21715e-008,0.5822
3.22101e-008,0.4362
3.22487e-008,0.3387
3.22873e-008,0.2897
3.23259e-008,0.2819
3.23644e-008,0.2875
3.24030e-008,0.2877
3.24416e-008,0.3130
3.24801e-008,0.3690
3.25187e-008,0.4762
3.25573e-008,0.6351
3.25959e-008,0.8199
3.26344e-008,0.9779
3.26730e-008,1.0929
3.27116e-008,1.1642
3.27502e-008,1.1994
3.27888e-008,1.2071
3.28273e-008,1.2004
3.28659e-008,1.2307
3.29045e-008,1.2321
3.29430e-008,1.2121
3.29816e-008,1.1465
3.30202e-008,1.0089
3.30588e-008,0.8247
3.30974e-008,0.6374
3.31359e-008,0.4773
3.31745e-008,0.3644
3.32131e-008,0.3001
3.32516e-008,0.2812
3.32902e-008,0.2873
3.33288e-008,0.2840
3.33674e-008,0.3025
3.34060e-008,0.3463
3.34445e-008,0.4363
3.34831e-008,0.5801
3.35217e-008,0.7627
3.35603e-008,0.9321
3.35988e-008,1.0616
3.36374e-008,1.1459
3.36760e-008,1.1916
3.37145e-008,1.2069
3.37531e-008,1.2031
3.37917e-008,1.2264
3.38303e-008,1.2336
3.38689e-008,1.2217
3.39074e-008,1.1745
3.39460e-008,1.0598
3.39846e-008,0.8846
3.40231e-008,0.6954
3.40617e-008,0.5232
