.HEADER
..NAMES
Time,V U1.AE10
.DATA
1.49671e-008,1.0015
1.50057e-008,0.8530
1.50443e-008,0.7080
1.50828e-008,0.5754
1.51214e-008,0.4674
1.51600e-008,0.3893
1.51985e-008,0.3405
1.52371e-008,0.3139
1.52757e-008,0.2853
1.53143e-008,0.2888
1.53528e-008,0.3257
1.53914e-008,0.4118
1.54300e-008,0.5556
1.54686e-008,0.7428
1.55071e-008,0.9066
1.55457e-008,1.0240
1.55843e-008,1.1006
1.56229e-008,1.1481
1.56615e-008,1.1746
1.57000e-008,1.1878
1.57386e-008,1.2287
1.57772e-008,1.2427
1.58158e-008,1.2328
1.58543e-008,1.1852
1.58929e-008,1.0725
1.59315e-008,0.9031
1.59701e-008,0.7269
1.60086e-008,0.5706
1.60472e-008,0.4530
1.60858e-008,0.3744
1.61243e-008,0.3272
1.61629e-008,0.3040
1.62015e-008,0.2912
1.62401e-008,0.2806
1.62786e-008,0.2764
1.63172e-008,0.2789
1.63558e-008,0.2892
1.63944e-008,0.3087
1.64329e-008,0.3324
1.64715e-008,0.3517
1.65101e-008,0.3622
1.65487e-008,0.3634
1.65873e-008,0.3571
1.66258e-008,0.3466
1.66644e-008,0.3356
1.67030e-008,0.3266
1.67416e-008,0.3217
1.67801e-008,0.3199
1.68187e-008,0.3196
1.68573e-008,0.3201
1.68959e-008,0.3205
1.69344e-008,0.3195
1.69730e-008,0.3171
1.70116e-008,0.3150
1.70501e-008,0.3137
1.70887e-008,0.3131
1.71273e-008,0.3145
1.71659e-008,0.3225
1.72044e-008,0.3482
1.72430e-008,0.4103
1.72816e-008,0.5194
1.73202e-008,0.6657
1.73588e-008,0.8166
1.73973e-008,0.9291
1.74359e-008,1.0091
1.74745e-008,1.0672
1.75131e-008,1.1106
1.75516e-008,1.1429
1.75902e-008,1.1732
1.76288e-008,1.2209
1.76674e-008,1.2312
1.77059e-008,1.2128
1.77445e-008,1.1438
1.77831e-008,1.0033
1.78216e-008,0.8259
1.78602e-008,0.6600
1.78988e-008,0.5239
1.79374e-008,0.4246
1.79759e-008,0.3585
1.80145e-008,0.3198
1.80531e-008,0.3009
1.80917e-008,0.2734
1.81302e-008,0.2772
1.81688e-008,0.3169
1.82074e-008,0.4069
1.82460e-008,0.5539
1.82846e-008,0.7431
1.83231e-008,0.9101
1.83617e-008,1.0313
1.84003e-008,1.1085
1.84389e-008,1.1535
1.84774e-008,1.1769
1.85160e-008,1.1881
1.85546e-008,1.1948
1.85932e-008,1.1980
1.86317e-008,1.1966
1.86703e-008,1.1894
1.87089e-008,1.1770
1.87474e-008,1.1605
1.87860e-008,1.1450
1.88246e-008,1.1381
1.88632e-008,1.1406
1.89017e-008,1.1482
1.89403e-008,1.1567
1.89789e-008,1.1646
1.90175e-008,1.1713
1.90560e-008,1.1760
1.90946e-008,1.1783
1.91332e-008,1.1791
1.91718e-008,1.1791
1.92104e-008,1.1789
1.92489e-008,1.1792
1.92875e-008,1.1810
1.93261e-008,1.1831
1.93647e-008,1.1844
1.94032e-008,1.1846
1.94418e-008,1.1843
1.94804e-008,1.1865
1.95190e-008,1.1914
1.95575e-008,1.1889
1.95961e-008,1.1600
1.96347e-008,1.0763
1.96732e-008,0.9394
1.97118e-008,0.7912
1.97504e-008,0.6501
1.97890e-008,0.5271
1.98275e-008,0.4310
1.98661e-008,0.3657
1.99047e-008,0.3274
1.99433e-008,0.3066
1.99819e-008,0.2945
2.00204e-008,0.2873
2.00590e-008,0.2856
2.00976e-008,0.2918
2.01362e-008,0.3085
2.01747e-008,0.3303
2.02133e-008,0.3478
2.02519e-008,0.3574
2.02905e-008,0.3601
2.03290e-008,0.3568
2.03676e-008,0.3487
2.04062e-008,0.3389
2.04447e-008,0.3358
2.04833e-008,0.3526
2.05219e-008,0.4066
2.05605e-008,0.5102
2.05990e-008,0.6545
2.06376e-008,0.8096
2.06762e-008,0.9253
2.07148e-008,1.0058
2.07533e-008,1.0631
2.07919e-008,1.1062
2.08305e-008,1.1384
2.08691e-008,1.1617
2.09077e-008,1.1776
2.09462e-008,1.1859
2.09848e-008,1.1865
2.10234e-008,1.1790
2.10620e-008,1.1654
2.11005e-008,1.1496
2.11391e-008,1.1390
2.11777e-008,1.1390
2.12163e-008,1.1462
2.12548e-008,1.1548
2.12934e-008,1.1621
2.13320e-008,1.1683
2.13705e-008,1.1800
2.14091e-008,1.1875
2.14477e-008,1.1793
2.14863e-008,1.1330
2.15248e-008,1.0254
2.15634e-008,0.8780
2.16020e-008,0.7326
2.16406e-008,0.5990
2.16791e-008,0.4881
2.17177e-008,0.4046
2.17563e-008,0.3499
2.17949e-008,0.3187
2.18335e-008,0.3014
2.18720e-008,0.2907
2.19106e-008,0.2854
2.19492e-008,0.2863
2.19878e-008,0.2966
2.20263e-008,0.3165
2.20649e-008,0.3379
2.21035e-008,0.3528
2.21420e-008,0.3595
2.21806e-008,0.3595
2.22192e-008,0.3539
2.22578e-008,0.3447
2.22963e-008,0.3363
2.23349e-008,0.3388
2.23735e-008,0.3670
2.24121e-008,0.4392
2.24506e-008,0.5595
2.24892e-008,0.7140
2.25278e-008,0.8570
2.25664e-008,0.9585
2.26050e-008,1.0289
2.26435e-008,1.0803
2.26821e-008,1.1189
2.27207e-008,1.1477
2.27593e-008,1.1686
2.27978e-008,1.1816
2.28364e-008,1.1871
2.28750e-008,1.1848
2.29136e-008,1.1747
2.29521e-008,1.1595
2.29907e-008,1.1446
2.30293e-008,1.1379
2.30678e-008,1.1412
2.31064e-008,1.1495
2.31450e-008,1.1577
2.31836e-008,1.1646
2.32221e-008,1.1730
2.32607e-008,1.1836
2.32993e-008,1.1872
2.33379e-008,1.1685
2.33764e-008,1.1008
2.34150e-008,0.9732
2.34536e-008,0.8237
2.34922e-008,0.6814
2.35308e-008,0.5554
2.35693e-008,0.4541
2.36079e-008,0.3813
2.36465e-008,0.3361
2.36851e-008,0.3076
2.37236e-008,0.2831
2.37622e-008,0.2911
2.38008e-008,0.3347
2.38394e-008,0.4295
2.38779e-008,0.5826
2.39165e-008,0.7713
2.39551e-008,0.9284
2.39936e-008,1.0389
2.40322e-008,1.1100
2.40708e-008,1.1533
2.41094e-008,1.1771
2.41479e-008,1.1888
2.41865e-008,1.1962
2.42251e-008,1.1994
2.42637e-008,1.1964
2.43023e-008,1.1875
2.43408e-008,1.1746
2.43794e-008,1.1581
2.44180e-008,1.1431
2.44566e-008,1.1375
2.44951e-008,1.1415
2.45337e-008,1.1498
2.45723e-008,1.1582
2.46109e-008,1.1657
