.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
1.53528e-008,0.4414
1.53914e-008,0.3976
1.54300e-008,0.3685
1.54686e-008,0.3484
1.55071e-008,0.3222
1.55457e-008,0.3357
1.55843e-008,0.3868
1.56229e-008,0.4935
1.56615e-008,0.6621
1.57000e-008,0.8489
1.57386e-008,0.9817
1.57772e-008,1.0556
1.58158e-008,1.0896
1.58543e-008,1.1073
1.58929e-008,1.1253
1.59315e-008,1.1407
1.59701e-008,1.1828
1.60086e-008,1.1905
1.60472e-008,1.1707
1.60858e-008,1.1133
1.61243e-008,0.9797
1.61629e-008,0.8038
1.62015e-008,0.6505
1.62401e-008,0.5342
1.62786e-008,0.4590
1.63172e-008,0.4098
1.63558e-008,0.3764
1.63944e-008,0.3541
1.64329e-008,0.3265
1.64715e-008,0.3273
1.65101e-008,0.3660
1.65487e-008,0.4524
1.65873e-008,0.6043
1.66258e-008,0.7923
1.66644e-008,0.9471
1.67030e-008,1.0375
1.67416e-008,1.0817
1.67801e-008,1.1020
1.68187e-008,1.1194
1.68573e-008,1.1364
1.68959e-008,1.1716
1.69344e-008,1.1918
1.69730e-008,1.1797
1.70116e-008,1.1385
1.70501e-008,1.0293
1.70887e-008,0.8596
1.71273e-008,0.6949
1.71659e-008,0.5666
1.72044e-008,0.4791
1.72430e-008,0.4233
1.72816e-008,0.3855
1.73202e-008,0.3606
1.73588e-008,0.3361
1.73973e-008,0.3224
1.74359e-008,0.3496
1.74745e-008,0.4182
1.75131e-008,0.5501
1.75516e-008,0.7322
1.75902e-008,0.9061
1.76288e-008,1.0146
1.76674e-008,1.0715
1.77059e-008,1.0967
1.77445e-008,1.1137
1.77831e-008,1.1318
1.78216e-008,1.1444
1.78602e-008,1.1885
1.78988e-008,1.1857
1.79374e-008,1.1561
1.79759e-008,1.0734
1.80145e-008,0.9161
1.80531e-008,0.7427
1.80917e-008,0.6031
1.81302e-008,0.5022
1.81688e-008,0.4389
1.82074e-008,0.3958
1.82460e-008,0.3672
1.82846e-008,0.3477
1.83231e-008,0.3214
1.83617e-008,0.3371
1.84003e-008,0.3907
1.84389e-008,0.5008
1.84774e-008,0.6716
1.85160e-008,0.8573
1.85546e-008,0.9867
1.85932e-008,1.0582
1.86317e-008,1.0907
1.86703e-008,1.1080
1.87089e-008,1.1261
1.87474e-008,1.1414
1.87860e-008,1.1827
1.88246e-008,1.1897
1.88632e-008,1.1688
1.89017e-008,1.1085
1.89403e-008,0.9711
1.89789e-008,0.7948
1.90175e-008,0.6435
1.90560e-008,0.5293
1.90946e-008,0.4560
1.91332e-008,0.4078
1.91718e-008,0.3750
1.92104e-008,0.3533
1.92489e-008,0.3246
1.92875e-008,0.3281
1.93261e-008,0.3688
1.93647e-008,0.4585
1.94032e-008,0.6134
1.94418e-008,0.8017
1.94804e-008,0.9531
1.95190e-008,1.0407
1.95575e-008,1.0832
1.95961e-008,1.1028
1.96347e-008,1.1204
1.96732e-008,1.1372
1.97118e-008,1.1718
1.97504e-008,1.1912
1.97890e-008,1.1782
1.98275e-008,1.1349
1.98661e-008,1.0218
1.99047e-008,0.8502
1.99433e-008,0.6873
1.99819e-008,0.5611
2.00204e-008,0.4757
2.00590e-008,0.4211
2.00976e-008,0.3837
2.01362e-008,0.3596
2.01747e-008,0.3326
2.02133e-008,0.3225
2.02519e-008,0.3518
2.02905e-008,0.4231
2.03290e-008,0.5585
2.03676e-008,0.7417
2.04062e-008,0.9131
2.04447e-008,1.0187
2.04833e-008,1.0734
2.05219e-008,1.0977
2.05605e-008,1.1146
2.05990e-008,1.1326
2.06376e-008,1.1526
2.06762e-008,1.1899
2.07148e-008,1.1850
2.07533e-008,1.1536
2.07919e-008,1.0663
2.08305e-008,0.9068
2.08691e-008,0.7348
2.09077e-008,0.5969
2.09462e-008,0.4983
2.09848e-008,0.4360
2.10234e-008,0.3940
2.10620e-008,0.3660
2.11005e-008,0.3466
2.11391e-008,0.3218
2.11777e-008,0.3391
2.12163e-008,0.3947
2.12548e-008,0.5081
2.12934e-008,0.6814
2.13320e-008,0.8657
2.13705e-008,0.9916
2.14091e-008,1.0607
2.14477e-008,1.0916
2.14863e-008,1.1089
2.15248e-008,1.1270
2.15634e-008,1.1418
2.16020e-008,1.1853
2.16406e-008,1.1895
2.16791e-008,1.1671
2.17177e-008,1.1032
2.17563e-008,0.9624
2.17949e-008,0.7863
2.18335e-008,0.6368
2.18720e-008,0.5246
2.19106e-008,0.4530
2.19492e-008,0.4058
2.19878e-008,0.3737
2.20263e-008,0.3522
2.20649e-008,0.3245
2.21035e-008,0.3296
2.21420e-008,0.3720
2.21806e-008,0.4648
2.22192e-008,0.6227
2.22578e-008,0.8111
2.22963e-008,0.9589
2.23349e-008,1.0438
2.23735e-008,1.0845
2.24121e-008,1.1037
2.24506e-008,1.1214
2.24892e-008,1.1378
2.25278e-008,1.1760
2.25664e-008,1.1916
2.26050e-008,1.1770
2.26435e-008,1.1312
2.26821e-008,1.0138
2.27207e-008,0.8413
2.27593e-008,0.6801
2.27978e-008,0.5556
2.28364e-008,0.4723
2.28750e-008,0.4186
2.29136e-008,0.3824
2.29521e-008,0.3585
2.29907e-008,0.3322
2.30293e-008,0.3235
2.30678e-008,0.3544
2.31064e-008,0.4284
2.31450e-008,0.5671
2.31836e-008,0.7518
2.32221e-008,0.9200
2.32607e-008,1.0226
2.32993e-008,1.0751
2.33379e-008,1.0984
2.33764e-008,1.1154
2.34150e-008,1.1333
2.34536e-008,1.1534
2.34922e-008,1.1896
2.35308e-008,1.1839
2.35693e-008,1.1510
2.36079e-008,1.0602
2.36465e-008,0.8976
2.36851e-008,0.7267
2.37236e-008,0.5907
2.37622e-008,0.4943
2.38008e-008,0.4336
2.38394e-008,0.3924
2.38779e-008,0.3649
2.39165e-008,0.3460
2.39551e-008,0.3212
2.39936e-008,0.3407
2.40322e-008,0.3989
2.40708e-008,0.5159
2.41094e-008,0.6909
2.41479e-008,0.8738
2.41865e-008,0.9963
2.42251e-008,1.0630
2.42637e-008,1.0927
2.43023e-008,1.1098
2.43408e-008,1.1279
2.43794e-008,1.1424
2.44180e-008,1.1851
2.44566e-008,1.1886
2.44951e-008,1.1651
2.45337e-008,1.0980
2.45723e-008,0.9536
2.46109e-008,0.7775
2.46494e-008,0.6300
2.46880e-008,0.5201
2.47266e-008,0.4502
2.47651e-008,0.4037
2.48037e-008,0.3724
2.48423e-008,0.3515
2.48809e-008,0.3230
2.49194e-008,0.3306
2.49580e-008,0.3752
2.49966e-008,0.4714
2.50352e-008,0.6320
2.50737e-008,0.8203
2.51123e-008,0.9645
2.51509e-008,1.0468
2.51895e-008,1.0858
2.52281e-008,1.1045
2.52666e-008,1.1224
2.53052e-008,1.1386
2.53438e-008,1.1760
2.53824e-008,1.1909
2.54209e-008,1.1755
2.54595e-008,1.1273
2.54981e-008,1.0059
2.55367e-008,0.8320
2.55752e-008,0.6727
2.56138e-008,0.5503
2.56524e-008,0.4691
2.56909e-008,0.4163
2.57295e-008,0.3807
2.57681e-008,0.3574
2.58067e-008,0.3293
2.58452e-008,0.3239
2.58838e-008,0.3568
2.59224e-008,0.4338
2.59610e-008,0.5757
2.59995e-008,0.7614
2.60381e-008,0.9267
2.60767e-008,1.0263
2.61153e-008,1.0768
2.61539e-008,1.0993
2.61924e-008,1.1163
2.62310e-008,1.1341
2.62696e-008,1.1607
2.63082e-008,1.1907
2.63467e-008,1.1831
2.63853e-008,1.1482
2.64239e-008,1.0528
2.64625e-008,0.8884
2.65010e-008,0.7190
2.65396e-008,0.5847
2.65782e-008,0.4906
2.66167e-008,0.4309
2.66553e-008,0.3906
2.66939e-008,0.3638
2.67325e-008,0.3450
2.67710e-008,0.3218
2.68096e-008,0.3429
2.68482e-008,0.4033
2.68868e-008,0.5236
2.69254e-008,0.7008
2.69639e-008,0.8818
2.70025e-008,1.0010
2.70411e-008,1.0651
2.70797e-008,1.0936
2.71182e-008,1.1107
2.71568e-008,1.1288
2.71954e-008,1.1427
2.72340e-008,1.1873
2.72725e-008,1.1884
2.73111e-008,1.1632
2.73497e-008,1.0922
2.73882e-008,0.9448
2.74268e-008,0.7691
2.74654e-008,0.6234
2.75040e-008,0.5156
2.75425e-008,0.4473
2.75811e-008,0.4016
2.76197e-008,0.3712
2.76583e-008,0.3503
2.76968e-008,0.3230
2.77354e-008,0.3322
2.77740e-008,0.3787
2.78126e-008,0.4781
2.78512e-008,0.6414
2.78897e-008,0.8295
2.79283e-008,0.9701
2.79669e-008,1.0496
2.80055e-008,1.0870
