.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
1.18811e-008,-0.5862
1.19197e-008,-0.3966
1.19583e-008,-0.1657
1.19968e-008,0.0670
1.20354e-008,0.2679
1.20740e-008,0.4301
1.21126e-008,0.5719
1.21511e-008,0.6798
1.21897e-008,0.7393
1.22283e-008,0.8035
1.22668e-008,0.8128
1.23054e-008,0.7784
1.23440e-008,0.6767
1.23826e-008,0.4739
1.24212e-008,0.2138
1.24597e-008,-0.0646
1.24983e-008,-0.3174
1.25369e-008,-0.4959
1.25755e-008,-0.6173
1.26140e-008,-0.6898
1.26526e-008,-0.7211
1.26912e-008,-0.7517
1.27297e-008,-0.7566
1.27683e-008,-0.7286
1.28069e-008,-0.6335
1.28455e-008,-0.4617
1.28841e-008,-0.2416
1.29226e-008,-0.0049
1.29612e-008,0.2092
1.29998e-008,0.3815
1.30383e-008,0.5297
1.30769e-008,0.6510
1.31155e-008,0.7250
1.31541e-008,0.7918
1.31926e-008,0.8102
1.32312e-008,0.7951
1.32698e-008,0.7197
1.33084e-008,0.5474
1.33470e-008,0.2996
1.33855e-008,0.0240
1.34241e-008,-0.2452
1.34627e-008,-0.4466
1.35012e-008,-0.5844
1.35398e-008,-0.6723
1.35784e-008,-0.7141
1.36170e-008,-0.7456
1.36555e-008,-0.7514
1.36941e-008,-0.7449
1.37327e-008,-0.6724
1.37713e-008,-0.5229
1.38099e-008,-0.3162
1.38484e-008,-0.0785
1.38870e-008,0.1462
1.39256e-008,0.3305
1.39641e-008,0.4848
1.40027e-008,0.6168
1.40413e-008,0.7066
1.40799e-008,0.7722
1.41185e-008,0.8102
1.41570e-008,0.8070
1.41956e-008,0.7521
1.42342e-008,0.6128
1.42728e-008,0.3829
1.43113e-008,0.1122
1.43499e-008,-0.1654
1.43885e-008,-0.3911
1.44270e-008,-0.5464
1.44656e-008,-0.6499
1.45042e-008,-0.7048
1.45428e-008,-0.7315
1.45814e-008,-0.7531
1.46199e-008,-0.7533
1.46585e-008,-0.7014
1.46971e-008,-0.5780
1.47357e-008,-0.3856
1.47742e-008,-0.1538
1.48128e-008,0.0778
1.48514e-008,0.2771
1.48899e-008,0.4378
1.49285e-008,0.5783
1.49671e-008,0.6839
1.50057e-008,0.7410
1.50443e-008,0.8059
1.50828e-008,0.8137
1.51214e-008,0.7758
1.51600e-008,0.6687
1.51985e-008,0.4618
1.52371e-008,0.1996
1.52757e-008,-0.0793
1.53143e-008,-0.3282
1.53528e-008,-0.5035
1.53914e-008,-0.6224
1.54300e-008,-0.6923
1.54686e-008,-0.7223
1.55071e-008,-0.7516
1.55457e-008,-0.7550
1.55843e-008,-0.7245
1.56229e-008,-0.6261
1.56615e-008,-0.4512
1.57000e-008,-0.2295
1.57386e-008,0.0065
1.57772e-008,0.2190
1.58158e-008,0.3896
1.58543e-008,0.5365
1.58929e-008,0.6557
1.59315e-008,0.7274
1.59701e-008,0.7957
1.60086e-008,0.8130
1.60472e-008,0.7933
1.60858e-008,0.7136
1.61243e-008,0.5360
1.61629e-008,0.2859
1.62015e-008,0.0094
1.62401e-008,-0.2576
1.62786e-008,-0.4551
1.63172e-008,-0.5902
1.63558e-008,-0.6756
1.63944e-008,-0.7155
1.64329e-008,-0.7461
1.64715e-008,-0.7503
1.65101e-008,-0.7417
1.65487e-008,-0.6662
1.65873e-008,-0.5132
1.66258e-008,-0.3042
1.66644e-008,-0.0670
1.67030e-008,0.1566
1.67416e-008,0.3391
1.67801e-008,0.4921
1.68187e-008,0.6224
1.68573e-008,0.7097
1.68959e-008,0.7782
1.69344e-008,0.8112
1.69730e-008,0.8061
1.70116e-008,0.7480
1.70501e-008,0.6027
1.70887e-008,0.3699
1.71273e-008,0.0978
1.71659e-008,-0.1790
1.72044e-008,-0.4005
1.72430e-008,-0.5532
1.72816e-008,-0.6539
1.73202e-008,-0.7065
1.73588e-008,-0.7356
1.73973e-008,-0.7534
1.74359e-008,-0.7533
1.74745e-008,-0.6979
1.75131e-008,-0.5694
1.75516e-008,-0.3753
1.75902e-008,-0.1415
1.76288e-008,0.0895
1.76674e-008,0.2858
1.77059e-008,0.4455
1.77445e-008,0.5848
1.77831e-008,0.6880
1.78216e-008,0.7431
1.78602e-008,0.8060
1.78988e-008,0.8119
1.79374e-008,0.7718
1.79759e-008,0.6603
1.80145e-008,0.4488
1.80531e-008,0.1856
1.80917e-008,-0.0933
1.81302e-008,-0.3391
1.81688e-008,-0.5107
1.82074e-008,-0.6270
1.82460e-008,-0.6948
1.82846e-008,-0.7232
