.HEADER
..NAMES
Time,V U1.AD15&AE15
.DATA
1.65771e-008,0.2238
1.66138e-008,0.2271
1.66504e-008,0.2587
1.66871e-008,0.3328
1.67238e-008,0.4568
1.67605e-008,0.6006
1.67972e-008,0.7307
1.68338e-008,0.8377
1.68705e-008,0.9220
1.69072e-008,1.0299
1.69439e-008,1.0853
1.69805e-008,1.1111
1.70172e-008,1.1303
1.70539e-008,1.1505
1.70905e-008,1.1627
1.71272e-008,1.1520
1.71639e-008,1.0946
1.72006e-008,0.9831
1.72372e-008,0.8327
1.72739e-008,0.6671
1.73106e-008,0.5176
1.73473e-008,0.4043
1.73840e-008,0.3305
1.74206e-008,0.2861
1.74573e-008,0.2507
1.74940e-008,0.2293
1.75307e-008,0.2231
1.75673e-008,0.2363
1.76040e-008,0.2839
1.76407e-008,0.3799
1.76773e-008,0.5183
1.77140e-008,0.6583
1.77507e-008,0.7792
1.77874e-008,0.8762
1.78240e-008,0.9617
1.78607e-008,1.0589
1.78974e-008,1.0979
1.79341e-008,1.1191
1.79708e-008,1.1389
1.80074e-008,1.1573
1.80441e-008,1.1623
1.80808e-008,1.1345
1.81175e-008,1.0531
1.81541e-008,0.9225
1.81908e-008,0.7621
1.82275e-008,0.6002
1.82641e-008,0.4646
1.83008e-008,0.3688
1.83375e-008,0.3086
1.83742e-008,0.2737
1.84108e-008,0.2385
1.84475e-008,0.2248
1.84842e-008,0.2254
1.85209e-008,0.2517
1.85576e-008,0.3182
1.85942e-008,0.4354
1.86309e-008,0.5790
1.86676e-008,0.7124
1.87043e-008,0.8230
1.87409e-008,0.9106
1.87776e-008,1.0134
1.88143e-008,1.0788
1.88509e-008,1.1078
1.88876e-008,1.1272
1.89243e-008,1.1475
1.89610e-008,1.1618
1.89976e-008,1.1561
1.90343e-008,1.1070
1.90710e-008,1.0029
1.91077e-008,0.8569
1.91444e-008,0.6916
1.91810e-008,0.5382
1.92177e-008,0.4190
1.92544e-008,0.3395
1.92911e-008,0.2915
1.93277e-008,0.2549
1.93644e-008,0.2309
1.94011e-008,0.2230
1.94377e-008,0.2325
1.94744e-008,0.2742
1.95111e-008,0.3619
1.95478e-008,0.4963
1.95844e-008,0.6380
1.96211e-008,0.7626
1.96578e-008,0.8629
1.96945e-008,0.9414
1.97312e-008,1.0508
1.97678e-008,1.0940
1.98045e-008,1.1163
1.98412e-008,1.1359
1.98779e-008,1.1552
1.99145e-008,1.1631
1.99512e-008,1.1421
1.99879e-008,1.0691
2.00245e-008,0.9447
2.00612e-008,0.7871
2.00979e-008,0.6233
2.01346e-008,0.4827
2.01712e-008,0.3807
2.02079e-008,0.3158
2.02446e-008,0.2779
2.02813e-008,0.2422
2.03179e-008,0.2258
2.03546e-008,0.2238
2.03913e-008,0.2451
2.04280e-008,0.3047
2.04647e-008,0.4147
2.05013e-008,0.5572
2.05380e-008,0.6933
2.05747e-008,0.8075
2.06114e-008,0.8985
2.06480e-008,1.0000
2.06847e-008,1.0733
2.07214e-008,1.1047
2.07580e-008,1.1243
2.07947e-008,1.1444
2.08314e-008,1.1605
2.08681e-008,1.1589
2.09047e-008,1.1179
2.09414e-008,1.0218
2.09781e-008,0.8812
2.10148e-008,0.7170
2.10515e-008,0.5595
2.10881e-008,0.4341
2.11248e-008,0.3487
2.11615e-008,0.2973
2.11982e-008,0.2621
2.12348e-008,0.2338
2.12715e-008,0.2235
2.13082e-008,0.2292
2.13448e-008,0.2648
2.13815e-008,0.3449
2.14182e-008,0.4739
2.14549e-008,0.6170
2.14915e-008,0.7449
2.15282e-008,0.8490
2.15649e-008,0.9308
2.16016e-008,1.0388
2.16383e-008,1.0890
2.16749e-008,1.1132
2.17116e-008,1.1326
2.17483e-008,1.1525
2.17850e-008,1.1631
2.18216e-008,1.1480
2.18583e-008,1.0836
2.18950e-008,0.9662
2.19316e-008,0.8125
2.19683e-008,0.6475
2.20050e-008,0.5017
2.20417e-008,0.3932
2.20783e-008,0.3237
2.21150e-008,0.2823
2.21517e-008,0.2458
2.21884e-008,0.2274
2.22251e-008,0.2232
2.22617e-008,0.2400
2.22984e-008,0.2927
2.23351e-008,0.3946
2.23718e-008,0.5353
2.24084e-008,0.6737
2.24451e-008,0.7919
2.24818e-008,0.8861
2.25184e-008,0.9774
2.25551e-008,1.0648
2.25918e-008,1.1007
2.26285e-008,1.1212
2.26651e-008,1.1413
2.27018e-008,1.1588
2.27385e-008,1.1612
2.27752e-008,1.1276
2.28119e-008,1.0397
