.HEADER
..NAMES
Time,V U1.AA9
.DATA
1.99819e-008,1.1703
2.00204e-008,1.1726
2.00590e-008,1.1746
2.00976e-008,1.1768
2.01362e-008,1.1790
2.01747e-008,1.1811
2.02133e-008,1.1828
2.02519e-008,1.1838
2.02905e-008,1.1837
2.03290e-008,1.1830
2.03676e-008,1.1824
2.04062e-008,1.1821
2.04447e-008,1.1823
2.04833e-008,1.1826
2.05219e-008,1.1829
2.05605e-008,1.1830
2.05990e-008,1.1830
2.06376e-008,1.1830
2.06762e-008,1.1829
2.07148e-008,1.1828
2.07533e-008,1.1827
2.07919e-008,1.1827
2.08305e-008,1.1828
2.08691e-008,1.1830
2.09077e-008,1.1830
2.09462e-008,1.1830
2.09848e-008,1.1830
2.10234e-008,1.1829
2.10620e-008,1.1829
2.11005e-008,1.1829
2.11391e-008,1.1829
2.11777e-008,1.1829
2.12163e-008,1.1829
2.12548e-008,1.1829
2.12934e-008,1.1829
2.13320e-008,1.1829
2.13705e-008,1.1873
2.14091e-008,1.1917
2.14477e-008,1.1824
2.14863e-008,1.1355
2.15248e-008,1.0259
2.15634e-008,0.8765
2.16020e-008,0.7321
2.16406e-008,0.6067
2.16791e-008,0.5087
2.17177e-008,0.4309
2.17563e-008,0.3750
2.17949e-008,0.3407
2.18335e-008,0.3179
2.18720e-008,0.3056
2.19106e-008,0.3051
2.19492e-008,0.3153
2.19878e-008,0.3352
2.20263e-008,0.3583
2.20649e-008,0.3759
2.21035e-008,0.3837
2.21420e-008,0.3809
2.21806e-008,0.3702
2.22192e-008,0.3568
2.22578e-008,0.3441
2.22963e-008,0.3341
2.23349e-008,0.3278
2.23735e-008,0.3249
2.24121e-008,0.3235
2.24506e-008,0.3224
2.24892e-008,0.3207
2.25278e-008,0.3185
2.25664e-008,0.3161
2.26050e-008,0.3140
2.26435e-008,0.3134
2.26821e-008,0.3137
2.27207e-008,0.3147
2.27593e-008,0.3156
2.27978e-008,0.3161
2.28364e-008,0.3163
2.28750e-008,0.3162
2.29136e-008,0.3159
2.29521e-008,0.3157
2.29907e-008,0.3155
2.30293e-008,0.3156
2.30678e-008,0.3158
2.31064e-008,0.3159
2.31450e-008,0.3160
2.31836e-008,0.3160
2.32221e-008,0.3168
2.32607e-008,0.3237
2.32993e-008,0.3475
2.33379e-008,0.4073
2.33764e-008,0.5154
2.34150e-008,0.6611
2.34536e-008,0.8109
2.34922e-008,0.9153
2.35308e-008,0.9835
2.35693e-008,1.0327
2.36079e-008,1.0789
2.36465e-008,1.1214
2.36851e-008,1.1500
