.HEADER
..NAMES
Time,V U1.AC6
.DATA
1.27683e-008,1.1837
1.28069e-008,1.1837
1.28455e-008,1.1837
1.28841e-008,1.1837
1.29226e-008,1.1872
1.29612e-008,1.1921
1.29998e-008,1.1862
1.30383e-008,1.1482
1.30769e-008,1.0510
1.31155e-008,0.9084
1.31541e-008,0.7656
1.31926e-008,0.6366
1.32312e-008,0.5334
1.32698e-008,0.4538
1.33084e-008,0.3930
1.33470e-008,0.3540
1.33855e-008,0.3286
1.34241e-008,0.3098
1.34627e-008,0.3001
1.35012e-008,0.3015
1.35398e-008,0.3119
1.35784e-008,0.3297
1.36170e-008,0.3512
1.36555e-008,0.3685
1.36941e-008,0.3761
1.37327e-008,0.3743
1.37713e-008,0.3654
1.38099e-008,0.3531
1.38484e-008,0.3424
1.38870e-008,0.3417
1.39256e-008,0.3638
1.39641e-008,0.4280
1.40027e-008,0.5407
1.40413e-008,0.6864
1.40799e-008,0.8250
1.41185e-008,0.9201
1.41570e-008,0.9825
1.41956e-008,1.0293
1.42342e-008,1.0737
1.42728e-008,1.1163
1.43113e-008,1.1627
1.43499e-008,1.2097
1.43885e-008,1.2173
1.44270e-008,1.1899
1.44656e-008,1.1021
1.45042e-008,0.9463
1.45428e-008,0.7787
1.45814e-008,0.6275
1.46199e-008,0.5114
1.46585e-008,0.4387
1.46971e-008,0.3858
1.47357e-008,0.3451
1.47742e-008,0.3163
1.48128e-008,0.2869
1.48514e-008,0.2883
1.48899e-008,0.3340
1.49285e-008,0.4406
1.49671e-008,0.6040
1.50057e-008,0.7912
1.50443e-008,0.9442
1.50828e-008,1.0428
1.51214e-008,1.0954
1.51600e-008,1.1278
1.51985e-008,1.1549
1.52371e-008,1.1729
1.52757e-008,1.2216
1.53143e-008,1.2349
1.53528e-008,1.2177
1.53914e-008,1.1529
1.54300e-008,1.0139
1.54686e-008,0.8396
1.55071e-008,0.6746
1.55457e-008,0.5388
1.55843e-008,0.4501
1.56229e-008,0.3935
1.56615e-008,0.3520
1.57000e-008,0.3266
1.57386e-008,0.2936
1.57772e-008,0.2860
1.58158e-008,0.3149
1.58543e-008,0.4003
1.58929e-008,0.5470
1.59315e-008,0.7319
1.59701e-008,0.8998
1.60086e-008,1.0167
1.60472e-008,1.0831
1.60858e-008,1.1196
1.61243e-008,1.1484
1.61629e-008,1.1690
1.62015e-008,1.1820
1.62401e-008,1.1894
1.62786e-008,1.1880
1.63172e-008,1.1761
1.63558e-008,1.1598
1.63944e-008,1.1425
1.64329e-008,1.1275
1.64715e-008,1.1205
1.65101e-008,1.1240
1.65487e-008,1.1343
1.65873e-008,1.1475
1.66258e-008,1.1597
1.66644e-008,1.1715
1.67030e-008,1.1819
1.67416e-008,1.1826
1.67801e-008,1.1565
1.68187e-008,1.0746
1.68573e-008,0.9396
1.68959e-008,0.7965
1.69344e-008,0.6651
1.69730e-008,0.5571
1.70116e-008,0.4740
1.70501e-008,0.4084
1.70887e-008,0.3634
1.71273e-008,0.3258
1.71659e-008,0.3011
1.72044e-008,0.3114
1.72430e-008,0.3684
1.72816e-008,0.4849
1.73202e-008,0.6520
1.73588e-008,0.8294
1.73973e-008,0.9649
1.74359e-008,1.0512
1.74745e-008,1.0990
1.75131e-008,1.1319
1.75516e-008,1.1604
1.75902e-008,1.1787
1.76288e-008,1.1884
1.76674e-008,1.1910
1.77059e-008,1.1827
1.77445e-008,1.1668
1.77831e-008,1.1494
1.78216e-008,1.1334
1.78602e-008,1.1224
1.78988e-008,1.1217
1.79374e-008,1.1300
1.79759e-008,1.1421
1.80145e-008,1.1546
1.80531e-008,1.1644
1.80917e-008,1.1698
1.81302e-008,1.1727
1.81688e-008,1.1749
1.82074e-008,1.1761
1.82460e-008,1.1770
1.82846e-008,1.1789
1.83231e-008,1.1806
1.83617e-008,1.1822
1.84003e-008,1.1838
1.84389e-008,1.1846
1.84774e-008,1.1845
1.85160e-008,1.1841
1.85546e-008,1.1836
1.85932e-008,1.1829
1.86317e-008,1.1828
1.86703e-008,1.1831
1.87089e-008,1.1833
1.87474e-008,1.1834
1.87860e-008,1.1836
1.88246e-008,1.1836
1.88632e-008,1.1834
1.89017e-008,1.1834
1.89403e-008,1.1834
1.89789e-008,1.1833
1.90175e-008,1.1834
1.90560e-008,1.1834
1.90946e-008,1.1834
1.91332e-008,1.1835
1.91718e-008,1.1836
1.92104e-008,1.1835
1.92489e-008,1.1834
1.92875e-008,1.1834
1.93261e-008,1.1834
1.93647e-008,1.1834
1.94032e-008,1.1834
1.94418e-008,1.1834
1.94804e-008,1.1834
1.95190e-008,1.1834
1.95575e-008,1.1834
1.95961e-008,1.1834
1.96347e-008,1.1834
1.96732e-008,1.1834
1.97118e-008,1.1834
1.97504e-008,1.1834
1.97890e-008,1.1834
1.98275e-008,1.1833
1.98661e-008,1.1833
1.99047e-008,1.1833
1.99433e-008,1.1833
1.99819e-008,1.1833
2.00204e-008,1.1833
2.00590e-008,1.1833
2.00976e-008,1.1833
2.01362e-008,1.1833
2.01747e-008,1.1833
2.02133e-008,1.1833
2.02519e-008,1.1833
2.02905e-008,1.1833
2.03290e-008,1.1833
2.03676e-008,1.1833
2.04062e-008,1.1846
2.04447e-008,1.1895
2.04833e-008,1.1913
2.05219e-008,1.1738
2.05605e-008,1.1099
2.05990e-008,0.9861
2.06376e-008,0.8393
2.06762e-008,0.7017
2.07148e-008,0.5841
2.07533e-008,0.4929
2.07919e-008,0.4223
2.08305e-008,0.3717
2.08691e-008,0.3406
2.09077e-008,0.3185
2.09462e-008,0.3034
2.09848e-008,0.2991
2.10234e-008,0.3050
2.10620e-008,0.3191
2.11005e-008,0.3394
2.11391e-008,0.3600
2.11777e-008,0.3730
2.12163e-008,0.3760
2.12548e-008,0.3705
2.12934e-008,0.3594
2.13320e-008,0.3470
2.13705e-008,0.3366
2.14091e-008,0.3287
2.14477e-008,0.3238
2.14863e-008,0.3221
2.15248e-008,0.3214
2.15634e-008,0.3202
2.16020e-008,0.3189
2.16406e-008,0.3172
2.16791e-008,0.3149
2.17177e-008,0.3133
2.17563e-008,0.3126
2.17949e-008,0.3126
2.18335e-008,0.3133
2.18720e-008,0.3142
2.19106e-008,0.3147
2.19492e-008,0.3149
2.19878e-008,0.3151
2.20263e-008,0.3149
2.20649e-008,0.3147
2.21035e-008,0.3145
2.21420e-008,0.3145
2.21806e-008,0.3146
2.22192e-008,0.3147
2.22578e-008,0.3148
2.22963e-008,0.3148
