.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
1.81302e-008,0.7772
1.81688e-008,0.8829
1.82074e-008,0.9679
1.82460e-008,1.0357
1.82846e-008,1.0825
1.83231e-008,1.1088
1.83617e-008,1.1110
1.84003e-008,1.1230
1.84389e-008,1.1166
1.84774e-008,1.0974
1.85160e-008,1.0734
1.85546e-008,1.0056
1.85932e-008,0.8925
1.86317e-008,0.7780
1.86703e-008,0.6499
1.87089e-008,0.5348
1.87474e-008,0.4429
1.87860e-008,0.3754
1.88246e-008,0.3478
1.88632e-008,0.3414
1.89017e-008,0.3589
1.89403e-008,0.4164
1.89789e-008,0.4955
1.90175e-008,0.6019
1.90560e-008,0.7347
1.90946e-008,0.8533
1.91332e-008,0.9424
1.91718e-008,1.0167
1.92104e-008,1.0698
1.92489e-008,1.1028
1.92875e-008,1.1130
1.93261e-008,1.1189
1.93647e-008,1.1218
1.94032e-008,1.1028
1.94418e-008,1.0841
1.94804e-008,1.0332
1.95190e-008,0.9302
1.95575e-008,0.8148
1.95961e-008,0.6908
1.96347e-008,0.5682
1.96732e-008,0.4700
1.97118e-008,0.3931
1.97504e-008,0.3521
1.97890e-008,0.3446
1.98275e-008,0.3482
1.98661e-008,0.3958
1.99047e-008,0.4677
1.99433e-008,0.5650
1.99819e-008,0.6907
2.00204e-008,0.8207
2.00590e-008,0.9156
2.00976e-008,0.9956
2.01362e-008,1.0552
2.01747e-008,1.0948
2.02133e-008,1.1126
2.02519e-008,1.1082
2.02905e-008,1.1245
2.03290e-008,1.1088
2.03676e-008,1.0913
2.04062e-008,1.0552
2.04447e-008,0.9670
2.04833e-008,0.8503
2.05219e-008,0.7319
2.05605e-008,0.6042
2.05990e-008,0.4989
2.06376e-008,0.4143
2.06762e-008,0.3603
2.07148e-008,0.3474
2.07533e-008,0.3423
2.07919e-008,0.3771
2.08305e-008,0.4426
2.08691e-008,0.5310
2.09077e-008,0.6483
2.09462e-008,0.7836
2.09848e-008,0.8877
2.10234e-008,0.9722
2.10620e-008,1.0386
2.11005e-008,1.0845
2.11391e-008,1.1095
2.11777e-008,1.1103
2.12163e-008,1.1220
2.12548e-008,1.1157
2.12934e-008,1.0963
2.13320e-008,1.0711
2.13705e-008,1.0004
2.14091e-008,0.8861
2.14477e-008,0.7721
2.14863e-008,0.6439
2.15248e-008,0.5296
2.15634e-008,0.4390
2.16020e-008,0.3729
2.16406e-008,0.3473
2.16791e-008,0.3405
2.17177e-008,0.3610
2.17563e-008,0.4197
2.17949e-008,0.5002
2.18335e-008,0.6081
2.18720e-008,0.7417
2.19106e-008,0.8583
2.19492e-008,0.9469
2.19878e-008,1.0200
2.20263e-008,1.0721
2.20649e-008,1.1038
2.21035e-008,1.1126
2.21420e-008,1.1178
2.21806e-008,1.1210
2.22192e-008,1.1018
2.22578e-008,1.0824
2.22963e-008,1.0289
2.23349e-008,0.9240
2.23735e-008,0.8089
2.24121e-008,0.6848
2.24506e-008,0.5627
2.24892e-008,0.4655
2.25278e-008,0.3899
2.25664e-008,0.3511
2.26050e-008,0.3423
2.26435e-008,0.3494
2.26821e-008,0.3988
2.27207e-008,0.4719
2.27593e-008,0.5707
2.27978e-008,0.6977
2.28364e-008,0.8263
2.28750e-008,0.9204
2.29136e-008,0.9993
